n,m,comparisons,swaps
1000,1,2556,1285
1000,2,2556,1285
1000,3,2556,1285
1000,4,2556,1285
1000,5,2556,1285
1000,6,2556,1285
1000,7,2556,1285
1000,8,2556,1285
1000,9,2556,1285
1000,10,2556,1285
2000,1,5234,2649
2000,2,5234,2649
2000,3,5234,2649
2000,4,5234,2649
2000,5,5234,2649
2000,6,5234,2649
2000,7,5234,2649
2000,8,5234,2649
2000,9,5234,2649
2000,10,5234,2649
3000,1,7344,3680
3000,2,7344,3680
3000,3,7344,3680
3000,4,7344,3680
3000,5,7344,3680
3000,6,7344,3680
3000,7,7344,3680
3000,8,7344,3680
3000,9,7344,3680
3000,10,7344,3680
4000,1,10659,5372
4000,2,10659,5372
4000,3,10659,5372
4000,4,10659,5372
4000,5,10659,5372
4000,6,10659,5372
4000,7,10659,5372
4000,8,10659,5372
4000,9,10659,5372
4000,10,10659,5372
5000,1,12944,6526
5000,2,12944,6526
5000,3,12944,6526
5000,4,12944,6526
5000,5,12944,6526
5000,6,12944,6526
5000,7,12944,6526
5000,8,12944,6526
5000,9,12944,6526
5000,10,12944,6526
6000,1,8191,4098
6000,2,8191,4098
6000,3,8191,4098
6000,4,8191,4098
6000,5,8191,4098
6000,6,8191,4098
6000,7,8191,4098
6000,8,8191,4098
6000,9,8191,4098
6000,10,8191,4098
7000,1,18793,9429
7000,2,18793,9429
7000,3,18793,9429
7000,4,18793,9429
7000,5,18793,9429
7000,6,18793,9429
7000,7,18793,9429
7000,8,18793,9429
7000,9,18793,9429
7000,10,18793,9429
8000,1,20179,10140
8000,2,20179,10140
8000,3,20179,10140
8000,4,20179,10140
8000,5,20179,10140
8000,6,20179,10140
8000,7,20179,10140
8000,8,20179,10140
8000,9,20179,10140
8000,10,20179,10140
9000,1,24129,12144
9000,2,24129,12144
9000,3,24129,12144
9000,4,24129,12144
9000,5,24129,12144
9000,6,24129,12144
9000,7,24129,12144
9000,8,24129,12144
9000,9,24129,12144
9000,10,24129,12144
10000,1,26737,13428
10000,2,26737,13428
10000,3,26737,13428
10000,4,26737,13428
10000,5,26737,13428
10000,6,26737,13428
10000,7,26737,13428
10000,8,26737,13428
10000,9,26737,13428
10000,10,26737,13428
11000,1,29789,14956
11000,2,29789,14956
11000,3,29789,14956
11000,4,29789,14956
11000,5,29789,14956
11000,6,29789,14956
11000,7,29789,14956
11000,8,29789,14956
11000,9,29789,14956
11000,10,29789,14956
12000,1,32044,16048
12000,2,32044,16048
12000,3,32044,16048
12000,4,32044,16048
12000,5,32044,16048
12000,6,32044,16048
12000,7,32044,16048
12000,8,32044,16048
12000,9,32044,16048
12000,10,32044,16048
13000,1,17877,8975
13000,2,17877,8975
13000,3,17877,8975
13000,4,17877,8975
13000,5,17877,8975
13000,6,17877,8975
13000,7,17877,8975
13000,8,17877,8975
13000,9,17877,8975
13000,10,17877,8975
14000,1,38022,19076
14000,2,38022,19076
14000,3,38022,19076
14000,4,38022,19076
14000,5,38022,19076
14000,6,38022,19076
14000,7,38022,19076
14000,8,38022,19076
14000,9,38022,19076
14000,10,38022,19076
15000,1,39369,19744
15000,2,39369,19744
15000,3,39369,19744
15000,4,39369,19744
15000,5,39369,19744
15000,6,39369,19744
15000,7,39369,19744
15000,8,39369,19744
15000,9,39369,19744
15000,10,39369,19744
16000,1,43636,21945
16000,2,43636,21945
16000,3,43636,21945
16000,4,43636,21945
16000,5,43636,21945
16000,6,43636,21945
16000,7,43636,21945
16000,8,43636,21945
16000,9,43636,21945
16000,10,43636,21945
17000,1,45878,22986
17000,2,45878,22986
17000,3,45878,22986
17000,4,45878,22986
17000,5,45878,22986
17000,6,45878,22986
17000,7,45878,22986
17000,8,45878,22986
17000,9,45878,22986
17000,10,45878,22986
18000,1,48764,24487
18000,2,48764,24487
18000,3,48764,24487
18000,4,48764,24487
18000,5,48764,24487
18000,6,48764,24487
18000,7,48764,24487
18000,8,48764,24487
18000,9,48764,24487
18000,10,48764,24487
19000,1,51801,26017
19000,2,51801,26017
19000,3,51801,26017
19000,4,51801,26017
19000,5,51801,26017
19000,6,51801,26017
19000,7,51801,26017
19000,8,51801,26017
19000,9,51801,26017
