n,k,comparisons,swaps
1000,1,372527,368504
2000,1,698765,678702
3000,1,1881947,1851879
4000,1,2801378,2761287
5000,1,11502071,11466892
6000,1,12467509,12425466
7000,1,31166444,31117398
8000,1,30228972,30164924
9000,1,35369415,35297361
10000,1,17367578,17257500
11000,1,50738534,50650485
12000,1,24221424,24065329
13000,1,84597933,84519895
14000,1,42669639,42473552
15000,1,39162066,38921958
16000,1,103371040,103258994
17000,1,45628834,45424748
18000,1,113273349,113093210
19000,1,84412343,84165264
20000,1,141722372,141502295
21000,1,112985708,112733630
22000,1,124336693,124160643
23000,1,173395090,173280061
24000,1,146276840,146060770
25000,1,368674040,368448986
26000,1,444165031,443982988
27000,1,294263021,293911939
28000,1,411772513,411408432
29000,1,349192947,348902881
30000,1,296482013,296091939
31000,1,201917155,201576038
32000,1,408260565,407876487
33000,1,510157652,509959614
34000,1,325580987,325070881
35000,1,286469838,286084760
36000,1,878097830,877737760
37000,1,268674882,268156791
38000,1,240197959,239741876
39000,1,732882021,732452944
40000,1,384707072,384186972
41000,1,1071567221,1071157140
42000,1,570334433,569830358
43000,1,245856402,245168289
44000,1,495693845,495429806
45000,1,962848009,962532963
46000,1,281777223,281225139
