n,k,comparisons,swaps
40,49,520,385
40,50,456,284
40,51,467,257
40,52,454,321
40,53,421,213
40,54,927,841
40,55,413,241
40,56,434,216
40,57,521,394
40,58,1013,926
40,59,413,236
40,60,966,881
40,61,732,648
40,62,376,160
40,63,777,653
40,64,459,282
40,65,545,357
40,66,1015,928
40,67,684,550
40,68,928,842
40,69,909,823
40,70,687,490
40,71,400,222
40,72,759,630
40,73,644,520
40,74,419,245
40,75,644,519
40,76,474,340
40,77,500,366
40,78,598,473
40,79,478,308
40,80,418,243
40,81,451,271
40,82,698,569
40,83,546,414
40,84,465,291
40,85,618,494
40,86,478,281
40,87,909,823
40,88,584,450
40,89,344,167
40,90,618,485
40,91,457,240
40,92,397,214
40,93,455,238
40,94,415,243
40,95,419,205
40,96,471,292
40,97,414,187
40,98,391,258
40,99,462,330
40,100,589,454
50,1,924,760
50,2,1708,1602
50,3,661,442
50,4,733,469
50,5,563,294
50,6,555,334
50,7,1719,1612
50,8,613,392
50,9,647,433
50,10,1463,1356
50,11,910,746
50,12,1023,810
50,13,1007,842
50,14,1109,945
50,15,1461,1355
50,16,602,279
50,17,1716,1610
50,18,823,659
50,19,687,415
50,20,604,338
50,21,1105,949
50,22,1691,1585
50,23,889,724
50,24,663,445
50,25,1463,1357
50,26,1515,1410
50,27,841,626
50,28,768,555
50,29,1223,1061
50,30,842,634
50,31,834,669
50,32,1045,892
50,33,642,419
50,34,912,748
50,35,630,410
50,36,784,565
50,37,1766,1660
50,38,966,793
50,39,883,718
50,40,848,684
50,41,1503,1397
50,42,750,507
50,43,736,523
50,44,880,717
50,45,1016,857
50,46,1586,1481
50,47,631,412
50,48,983,823
50,49,556,231
50,50,641,416
50,51,678,414
50,52,689,443
50,53,992,832
50,54,894,729
50,55,1124,969
50,56,555,229
50,57,1042,879
50,58,907,744
50,59,1242,1033
50,60,1301,1140
50,61,1418,1314
50,62,598,229
50,63,587,266
50,64,1596,1490
50,65,1554,1448
50,66,955,795
50,67,1244,1141
50,68,883,718
50,69,989,824
50,70,610,342
50,71,1041,877
50,72,819,607
50,73,764,536
50,74,707,441
50,75,1544,1437
50,76,1367,1260
50,77,1456,1351
50,78,1017,853
50,79,613,272
50,80,831,669
50,81,639,418
50,82,555,221
50,83,597,323
50,84,1447,1344
50,85,582,313
50,86,1230,1066
50,87,616,345
50,88,737,522
50,89,1506,1399
50,90,1697,1590
50,91,1124,967
50,92,1489,1385
50,93,707,474
50,94,879,715
50,95,1169,1009
50,96,526,200
50,97,1437,1331
50,98,1090,881
50,99,521,300
50,100,683,468
