n,k,comparisons,swaps
10,1,29,22
10,2,26,17
10,3,27,18
10,4,28,20
10,5,32,24
10,6,17,9
10,7,26,20
10,8,37,30
10,9,27,21
10,10,31,24
20,1,185,139
20,2,100,56
20,3,128,83
20,4,129,63
20,5,130,84
20,6,165,119
20,7,110,67
20,8,96,49
20,9,115,47
20,10,123,77
30,1,213,83
30,2,249,121
30,3,295,193
30,4,285,127
30,5,239,121
30,6,536,469
30,7,413,346
30,8,184,84
30,9,282,181
30,10,303,200
40,1,833,749
40,2,503,322
40,3,1056,969
40,4,650,520
40,5,633,462
40,6,450,280
40,7,571,439
40,8,462,331
40,9,578,444
40,10,354,136
50,1,854,689
50,2,1616,1509
50,3,1111,1006
50,4,754,593
50,5,1170,1010
50,6,665,501
50,7,867,702
50,8,1250,1145
50,9,577,281
50,10,1641,1534
