n,k,comparisons,swaps
10,1,27,21
10,2,31,23
10,3,29,22
10,4,23,15
10,5,35,29
10,6,32,25
10,7,31,24
10,8,36,28
10,9,40,34
10,10,32,25
10,11,29,21
10,12,30,22
10,13,34,27
10,14,29,23
10,15,31,27
10,16,32,26
10,17,21,13
10,18,28,22
10,19,27,20
10,20,29,24
10,21,34,27
10,22,35,30
10,23,40,35
10,24,24,16
10,25,30,21
10,26,37,32
10,27,29,21
10,28,25,18
10,29,38,29
10,30,33,27
10,31,26,17
10,32,36,32
10,33,29,23
10,34,30,24
10,35,25,18
10,36,29,21
10,37,26,20
10,38,23,15
10,39,20,11
10,40,35,27
10,41,19,11
10,42,24,16
10,43,43,39
10,44,33,28
10,45,32,26
10,46,23,14
10,47,28,19
10,48,26,18
10,49,39,31
10,50,26,18
10,51,32,24
10,52,29,23
10,53,26,18
10,54,23,15
10,55,31,22
10,56,31,24
10,57,29,21
10,58,27,19
10,59,30,23
10,60,29,21
10,61,31,23
10,62,24,16
10,63,32,25
10,64,31,23
10,65,35,29
10,66,38,31
10,67,25,19
10,68,30,23
10,69,28,23
10,70,30,22
10,71,30,24
10,72,21,14
10,73,32,25
10,74,20,11
10,75,26,19
10,76,29,21
10,77,24,17
10,78,29,22
10,79,33,26
10,80,38,31
10,81,33,24
10,82,32,24
10,83,30,22
10,84,36,29
10,85,34,28
10,86,22,15
10,87,28,20
10,88,33,26
10,89,27,18
10,90,35,27
10,91,28,20
10,92,33,26
10,93,33,26
10,94,32,23
10,95,31,24
10,96,28,21
10,97,28,21
10,98,39,33
10,99,30,24
10,100,15,8
20,1,123,108
20,2,101,85
20,3,97,78
20,4,110,93
20,5,87,69
20,6,117,99
20,7,116,101
20,8,98,81
20,9,119,101
20,10,86,69
20,11,83,65
20,12,107,91
20,13,126,110
20,14,110,94
20,15,109,91
20,16,90,72
20,17,114,99
20,18,112,96
20,19,123,107
20,20,119,102
20,21,100,82
20,22,106,91
20,23,131,112
20,24,132,117
20,25,104,89
20,26,95,77
20,27,125,109
20,28,117,102
20,29,103,88
20,30,99,83
20,31,112,96
20,32,102,84
20,33,85,68
20,34,111,94
20,35,110,94
20,36,119,103
20,37,114,96
20,38,130,114
20,39,122,106
20,40,101,85
20,41,109,94
20,42,89,72
20,43,91,74
20,44,96,79
20,45,106,88
20,46,96,79
20,47,101,84
20,48,117,99
20,49,68,51
20,50,133,119
20,51,121,105
20,52,104,86
20,53,101,84
20,54,110,94
20,55,99,81
20,56,99,83
20,57,101,83
20,58,113,96
20,59,109,94
20,60,129,112
20,61,108,92
20,62,106,89
20,63,90,72
20,64,114,96
20,65,68,50
20,66,95,78
20,67,119,102
20,68,118,103
20,69,105,92
20,70,91,73
20,71,125,107
20,72,115,98
20,73,119,101
20,74,130,113
20,75,128,111
20,76,108,93
20,77,102,86
20,78,106,90
20,79,107,91
20,80,91,73
20,81,115,99
20,82,132,118
20,83,105,90
20,84,74,57
20,85,74,55
20,86,103,87
20,87,91,74
20,88,102,84
20,89,105,88
20,90,111,96
20,91,112,94
20,92,93,75
20,93,106,92
20,94,105,88
20,95,109,90
20,96,108,93
20,97,108,90
20,98,87,70
20,99,106,89
20,100,102,83
30,1,233,209
30,2,220,192
30,3,212,186
30,4,195,168
30,5,240,214
30,6,241,216
30,7,201,173
30,8,245,219
30,9,240,213
30,10,231,204
30,11,257,234
30,12,233,208
30,13,276,250
30,14,247,219
30,15,235,212
30,16,209,183
30,17,257,233
30,18,278,254
30,19,215,186
30,20,204,178
30,21,240,213
30,22,200,174
30,23,250,225
30,24,277,249
30,25,259,232
30,26,235,208
30,27,235,207
30,28,269,243
30,29,280,253
30,30,291,266
30,31,234,209
30,32,248,222
30,33,208,184
30,34,219,192
30,35,287,262
30,36,250,223
30,37,236,208
30,38,279,251
30,39,282,254
30,40,242,216
30,41,256,228
30,42,262,236
30,43,244,216
30,44,235,210
30,45,273,248
30,46,257,230
30,47,248,219
30,48,264,238
30,49,261,234
30,50,240,214
30,51,227,201
30,52,236,208
30,53,228,202
30,54,221,194
30,55,272,247
30,56,289,264
30,57,248,221
30,58,245,221
30,59,260,233
30,60,287,260
30,61,278,250
30,62,298,271
30,63,268,243
30,64,254,229
30,65,284,259
30,66,297,272
30,67,259,234
30,68,221,193
30,69,261,235
30,70,256,230
30,71,235,208
30,72,268,243
30,73,243,219
30,74,260,235
30,75,296,269
30,76,213,187
30,77,218,190
30,78,225,198
30,79,241,218
30,80,203,175
30,81,233,209
30,82,230,206
30,83,231,203
30,84,216,189
30,85,219,190
30,86,251,223
30,87,264,241
30,88,178,152
30,89,211,187
30,90,268,244
30,91,266,240
30,92,220,192
30,93,252,226
30,94,227,200
30,95,253,225
30,96,199,172
30,97,209,183
30,98,212,185
30,99,255,227
30,100,285,258
40,1,432,396
40,2,390,354
40,3,341,306
40,4,405,368
40,5,411,375
40,6,490,455
40,7,408,373
40,8,384,350
40,9,450,413
40,10,437,401
40,11,390,355
40,12,426,389
40,13,424,388
40,14,422,386
40,15,367,332
40,16,400,364
40,17,389,351
40,18,382,344
40,19,416,380
40,20,418,382
40,21,408,372
40,22,524,487
40,23,356,321
40,24,494,457
