n,k,comparisons,swaps
22000,6,178812224,178548143
22000,7,147640054,147287933
22000,8,207291495,207005396
22000,9,184751289,184531237
22000,10,164265543,164111498
23000,1,157186830,156864732
23000,2,349625222,349418176
23000,3,111973575,111789520
23000,4,115882833,115675772
23000,5,207273870,207020800
23000,6,112844829,112499497
23000,7,127136972,126860895
23000,8,240201135,240086105
23000,9,257307902,257123851
23000,10,200815792,200654745
24000,1,183273330,183105283
24000,2,254450581,254090474
24000,3,170677102,170413030
24000,4,153628093,153388022
24000,5,163039939,162847886
24000,6,388469088,388277034
24000,7,245519749,245327694
24000,8,169943238,169631163
24000,9,160375292,160063209
24000,10,158484992,158148910
25000,1,213026167,212626071
25000,2,144122923,143847856
25000,3,176499368,176249301
25000,4,173782218,173557155
25000,5,261945775,261770729
25000,6,228934958,228734868
25000,7,111512162,111162068
25000,8,222723089,222397998
25000,9,236054171,235779100
25000,10,355209657,355059619
26000,1,307075309,306841249
26000,2,106141146,105855068
26000,3,420162725,419954676
26000,4,293528709,293346664
26000,5,504535107,504431071
26000,6,236200148,235914081
26000,7,321398448,321242418
26000,8,112358366,112124260
26000,9,179044374,178732294
26000,10,285277151,284991077
27000,1,346386898,346197853
27000,2,487230717,487014663
27000,3,267110480,267002458
27000,4,497139765,496977727
27000,5,304764062,304629031
27000,6,161596581,161434543
27000,7,403124800,402881751
27000,8,209628849,209385789
27000,9,269763070,269547016
27000,10,249167025,248923963
28000,1,217561523,217309462
28000,2,219066614,218842564
28000,3,516038424,515814377
28000,4,198313045,198117001
28000,5,215763742,215287628
28000,6,379922636,379698582
28000,7,319999118,319663035
28000,8,359675014,359422954
28000,9,214615435,214223336
28000,10,251948497,251724448
29000,1,409385633,409124571
29000,2,191441229,191122153
29000,3,142548812,142084696
29000,4,354925555,354693502
29000,5,510745030,510570993
29000,6,329659234,329398186
29000,7,333161870,332929822
29000,8,406434942,406318922
29000,9,218595034,218362988
29000,10,464933717,464556625
30000,1,353395968,353065890
30000,2,484886740,484556632
30000,3,258075033,257774935
30000,4,208244442,207914369
30000,5,246607003,246306937
30000,6,512574603,512274535
30000,7,238240071,238030020
30000,8,348363376,348093315
30000,9,346533735,346203658
30000,10,449192922,448832819
31000,1,225462341,225090268
31000,2,484847458,484568397
31000,3,293278894,292875793
31000,4,365134145,364886070
31000,5,562858753,562641708
31000,6,429734463,429393394
31000,7,187432203,186998105
31000,8,685148226,684931167
31000,9,514725988,514508942
31000,10,284814564,284318453
32000,1,306264056,306008001
32000,2,281976962,281720909
32000,3,299436689,299116619
32000,4,241776117,241360008
32000,5,313083883,312795830
32000,6,153764791,153284683
32000,7,347266995,346914919
32000,8,217534854,217118750
32000,9,325245594,324829509
32000,10,540303364,539855231
33000,1,338563168,338332121
33000,2,421335153,420972077
33000,3,677569576,677338534
33000,4,368718159,368487115
33000,5,519021495,518691425
33000,6,195135771,194904733
33000,7,786184860,785986822
33000,8,202282220,201952151
33000,9,305878727,305383624
33000,10,686427799,686163714
34000,1,291643087,291337025
34000,2,534550039,534243979
34000,3,706007306,705701260
34000,4,254700272,254258178
34000,5,123616222,123174131
34000,6,375379474,375039403
34000,7,355704398,355398345
34000,8,352965620,352489543
34000,9,180155805,179815735
34000,10,550059298,549821238
35000,1,279890450,279575400
35000,2,601645235,601260160
35000,3,217740986,217355908
35000,4,314188876,313768788
35000,5,426533173,426113090
35000,6,278602137,278217068
35000,7,730268897,730093867
35000,8,449004108,448654047
35000,9,360595008,360174917
35000,10,331552976,331097897
36000,1,431145108,430893065
36000,2,618281927,617921862
36000,3,871316643,871064596
36000,4,712699157,712411106
36000,5,253777194,253273095
36000,6,476000234,475784196
36000,7,167022134,166590053
36000,8,284537082,284032980
36000,9,476743412,476419350
36000,10,593290396,592930313
37000,1,604099024,603580933
37000,2,466981933,466537817
37000,3,389799522,389466460
37000,4,332003307,331596235
37000,5,377536129,377166059
37000,6,922532718,922236672
37000,7,405253474,404957424
37000,8,318206773,317725692
37000,9,415092252,414722187
37000,10,249807253,249363168
38000,1,580149419,579731343
38000,2,1013864997,1013674966
38000,3,253051150,252709091
38000,4,503975590,503595525
38000,5,324860837,324518707
38000,6,934552735,934362705
38000,7,1001914059,1001495981
38000,8,441968969,441436878
38000,9,440265952,439961901
38000,10,1023628389,1023324352
39000,1,439187282,438875239
39000,2,472772965,472382897
39000,3,265197484,264612379
39000,4,789935857,789389764
39000,5,475037122,474608048
39000,6,240832641,240130508
39000,7,409317226,408849140
39000,8,845900413,845471337
39000,9,695556889,695244839
39000,10,337518733,337011643
40000,1,359369456,358889370
40000,2,432059871,431539778
40000,3,887564923,887204869
40000,4,705352937,705072895
40000,5,228406473,227766358
40000,6,849666949,849466885
40000,7,1051404625,1051124597
40000,8,368234837,367914783
40000,9,670019809,669499717
40000,10,956245407,955965363
41000,1,478332715,477922644
41000,2,587766386,587438332
41000,3,665735504,665366450
41000,4,558656845,558410817
41000,5,510929135,510560072
41000,6,499959183,499549115
41000,7,573886888,573640850
41000,8,533034393,532665333
41000,9,819958843,819671804
41000,10,700509916,700099845
42000,1,1106229557,1105935513
42000,2,561139465,560719397
42000,3,609619631,609241491
42000,4,274807619,274009485
42000,5,481170743,480792682
42000,6,375074501,374780456
42000,7,428825282,427859127
42000,8,885052287,884590217
42000,9,417422038,417085985
42000,10,376308842,375678740
43000,1,849468157,848952083
43000,2,1119503981,1119245944
43000,3,535776786,535260709
43000,4,653354887,652967797
