n,k,comparisons, execution_time
1000,1,8,0.07158809999236837
1000,2,10,0.05289569997694343
1000,3,7,0.058832199953030795
1000,4,7,0.06794320000335574
1000,5,9,0.060352600004989654
1000,6,10,0.0733897999743931
1000,7,9,0.06976320000831038
1000,8,7,0.059829400037415326
1000,9,9,0.05248870002105832
1000,10,10,0.06881540000904351
2000,1,11,0.0875759000191465
2000,2,9,0.06460720003815368
2000,3,11,0.053495700005441904
2000,4,10,0.05979179998394102
2000,5,11,0.0585218999767676
2000,6,10,0.06774809997295961
2000,7,9,0.05768939998233691
2000,8,9,0.07841139996889979
2000,9,11,0.09070729999803007
2000,10,11,0.08301599998958409
3000,1,12,0.07647029997315258
3000,2,10,0.07113399996887892
3000,3,12,0.060433899983763695
3000,4,12,0.06900409999070689
3000,5,7,0.06872769998153672
3000,6,12,0.06088699999963865
3000,7,11,0.05465960002038628
3000,8,11,0.058195500052534044
3000,9,10,0.08190400002058595
3000,10,12,0.07347979996120557
4000,1,11,0.08335959998657927
4000,2,8,0.05458350002299994
4000,3,12,0.060722800029907376
4000,4,11,0.07198439998319373
4000,5,11,0.055350600043311715
4000,6,11,0.07599779998417944
4000,7,11,0.08636319998186082
4000,8,12,0.07850709999911487
4000,9,11,0.05472449999069795
4000,10,10,0.0837481000344269
5000,1,10,0.0797500999760814
5000,2,9,0.07293469994328916
5000,3,12,0.06599619996268302
5000,4,13,0.06924869999056682
5000,5,11,0.06352570001035929
5000,6,10,0.06483340001432225
5000,7,13,0.06713409995427355
5000,8,11,0.06317129998933524
5000,9,11,0.060937800037208945
5000,10,11,0.05822239996632561
6000,1,12,0.060656999994535
6000,2,10,0.058069199963938445
6000,3,10,0.06422279996331781
6000,4,13,0.05871350003872067
6000,5,12,0.07421910000266507
6000,6,9,0.05918550002388656
6000,7,13,0.06444590003229678
6000,8,12,0.06129300000611693
6000,9,11,0.07747850002488121
6000,10,5,0.08731759997317567
7000,1,13,0.06906360003631562
7000,2,5,0.05458319996250793
7000,3,11,0.06485750002320856
7000,4,12,0.07094379997579381
7000,5,8,0.07398839999223128
7000,6,11,0.07011079997755587
7000,7,11,0.07754530000966042
7000,8,12,0.06461050000507385
7000,9,12,0.07213499996578321
7000,10,13,0.07539209997048602
8000,1,13,0.08458929997868836
8000,2,11,0.07084179995581508
8000,3,10,0.06467649998376146
8000,4,13,0.06366759998491034
8000,5,12,0.0658400000538677
8000,6,13,0.07223200000589713
8000,7,8,0.06648870004573837
8000,8,12,0.1060309000313282
8000,9,11,0.0642608999623917
8000,10,13,0.07066229998599738
9000,1,12,0.09336790000088513
9000,2,11,0.10598789999494329
9000,3,13,0.07011810003314167
9000,4,13,0.06871640001190826
9000,5,13,0.0893138000392355
9000,6,11,0.0805953000090085
9000,7,10,0.07478819997049868
9000,8,9,0.14166449999902397
9000,9,14,0.08938079996732995
9000,10,11,0.08389150002039969
10000,1,13,0.08910540002398193
10000,2,13,0.08297799999127164
10000,3,12,0.07866190001368523
10000,4,13,0.0763821000000462
10000,5,9,0.07630930002778769
10000,6,14,0.07418340002186596
10000,7,13,0.13031420001061633
10000,8,13,0.09588780003832653
10000,9,13,0.0949092999799177
10000,10,11,0.07096819998696446
11000,1,11,0.07521889999043196
11000,2,13,0.07909620000282302
11000,3,13,0.08428089995868504
11000,4,9,0.0776975000044331
11000,5,14,0.08125960000324994
11000,6,13,0.0837976000038907
11000,7,9,0.07272709999233484
11000,8,12,0.06933410000056028
11000,9,14,0.0774610000080429
11000,10,11,0.07090009999228641
12000,1,9,0.07320859999163076
12000,2,13,0.07627939997473732
12000,3,14,0.07427549996646121
12000,4,13,0.06908270000712946
12000,5,13,0.0707455999800004
12000,6,11,0.07717530004447326
12000,7,14,0.07264129997929558
12000,8,14,0.07593089999863878
12000,9,13,0.07398980000289157
12000,10,12,0.0801717999856919
13000,1,11,0.0837399999727495
13000,2,11,0.07085050002206117
13000,3,11,0.07564719999209046
13000,4,13,0.06937789998482913
13000,5,13,0.06563799997093156
13000,6,12,0.0701262999791652
13000,7,12,0.07796179997967556
13000,8,10,0.07575919997179881
13000,9,11,0.08071399998152629
13000,10,13,0.07832280005095527
14000,1,13,0.06865750002907589
14000,2,12,0.07594830001471564
14000,3,13,0.08464389998698607
14000,4,13,0.08086909999838099
14000,5,13,0.0819039000198245
14000,6,13,0.08183330000611022
14000,7,14,0.09164489997783676
14000,8,13,0.08212699997238815
14000,9,11,0.07224850001512095
14000,10,8,0.08534719998715445
15000,1,12,0.0991541999974288
15000,2,9,0.08549750002566725
15000,3,12,0.08130729995900765
15000,4,13,0.07429750001756474
15000,5,12,0.08052309998311102
15000,6,12,0.07899329997599125
15000,7,12,0.07838910003192723
15000,8,13,0.09715470002265647
15000,9,14,0.08268370002042502
15000,10,14,0.07321940001565963
16000,1,13,0.07601700001396239
16000,2,13,0.07767329999478534
16000,3,14,0.09319390001473948
16000,4,14,0.08211470005335286
16000,5,14,0.09240540000610054
16000,6,13,0.07630830002017319
16000,7,14,0.07199209998361766
16000,8,14,0.07270459999563172
16000,9,14,0.07063380000181496
16000,10,11,0.08396319998428226
17000,1,14,0.07563930004835129
17000,2,13,0.07829790003597736
17000,3,15,0.09458799997810274
17000,4,14,0.07827179995365441
17000,5,13,0.08751539996592328
17000,6,13,0.10921239998424426
17000,7,11,0.09164200001396239
17000,8,13,0.08808330004103482
17000,9,13,0.07774780003819615
17000,10,13,0.0756190000101924
18000,1,12,0.0735590000404045
18000,2,14,0.08394310000585392
18000,3,11,0.07957849995000288
18000,4,13,0.08580469997832552
18000,5,13,0.07277969998540357
18000,6,13,0.07141989999217913
18000,7,13,0.08016529999440536
18000,8,13,0.07602390000829473
18000,9,12,0.07129599998006597
18000,10,12,0.07735219999449328
19000,1,13,0.07844640000257641
19000,2,12,0.07562179997330531
19000,3,14,0.08707359997788444
19000,4,12,0.07948379998560995
19000,5,13,0.07920310000190511
19000,6,14,0.10580349998781458
19000,7,15,0.10231129999738187
