n,k,comparisons,swaps
40,49,165,216
40,50,165,216
40,51,161,216
40,52,168,216
40,53,171,216
40,54,165,216
40,55,170,216
40,56,164,216
40,57,169,216
40,58,165,216
40,59,166,216
40,60,163,216
40,61,161,216
40,62,165,216
40,63,164,216
40,64,163,216
40,65,168,216
40,66,170,216
40,67,166,216
40,68,167,216
40,69,166,216
40,70,160,216
40,71,165,216
40,72,164,216
40,73,170,216
40,74,168,216
40,75,169,216
40,76,172,216
40,77,163,216
40,78,166,216
40,79,167,216
40,80,160,216
40,81,167,216
40,82,163,216
40,83,170,216
40,84,168,216
40,85,160,216
40,86,167,216
40,87,167,216
40,88,166,216
40,89,157,216
40,90,165,216
40,91,170,216
40,92,168,216
40,93,166,216
40,94,170,216
40,95,164,216
40,96,162,216
40,97,169,216
40,98,164,216
40,99,167,216
40,100,172,216
50,1,222,286
50,2,220,286
50,3,224,286
50,4,222,286
50,5,219,286
50,6,223,286
50,7,221,286
50,8,230,286
50,9,219,286
50,10,223,286
50,11,216,286
50,12,220,286
50,13,218,286
50,14,227,286
50,15,220,286
50,16,223,286
50,17,221,286
50,18,222,286
50,19,221,286
50,20,224,286
50,21,215,286
50,22,226,286
50,23,219,286
50,24,226,286
50,25,215,286
50,26,221,286
50,27,223,286
50,28,224,286
50,29,224,286
50,30,226,286
50,31,217,286
50,32,221,286
50,33,221,286
50,34,227,286
50,35,219,286
50,36,221,286
50,37,206,286
50,38,224,286
50,39,220,286
50,40,225,286
50,41,218,286
50,42,223,286
50,43,226,286
50,44,229,286
50,45,219,286
50,46,221,286
50,47,225,286
50,48,222,286
50,49,214,286
50,50,220,286
50,51,219,286
50,52,226,286
50,53,210,286
50,54,226,286
50,55,228,286
50,56,225,286
50,57,215,286
50,58,227,286
50,59,220,286
50,60,221,286
50,61,225,286
50,62,222,286
50,63,224,286
50,64,224,286
50,65,223,286
50,66,222,286
50,67,223,286
50,68,224,286
50,69,224,286
50,70,226,286
50,71,221,286
50,72,221,286
50,73,221,286
50,74,216,286
50,75,220,286
50,76,228,286
50,77,223,286
50,78,223,286
50,79,223,286
50,80,223,286
50,81,225,286
