n,k,comparisons,swaps
40,49,191,176
40,50,197,187
40,51,197,189
40,52,193,186
40,53,190,189
40,54,190,186
40,55,202,191
40,56,188,191
40,57,180,185
40,58,206,196
40,59,189,186
40,60,196,186
40,61,193,182
40,62,196,190
40,63,199,186
40,64,175,188
40,65,190,186
40,66,191,179
40,67,180,183
40,68,193,186
40,69,186,182
40,70,187,192
40,71,186,190
40,72,196,191
40,73,190,187
40,74,190,187
40,75,197,188
40,76,174,186
40,77,197,186
40,78,197,188
40,79,196,185
40,80,196,182
40,81,189,183
40,82,190,191
40,83,194,186
40,84,193,184
40,85,199,186
40,86,193,182
40,87,197,188
40,88,189,182
40,89,195,186
40,90,187,182
40,91,198,188
40,92,189,184
40,93,185,179
40,94,200,188
40,95,187,184
40,96,194,187
40,97,170,160
40,98,183,180
40,99,200,186
40,100,193,184
50,1,252,236
50,2,255,244
50,3,253,237
50,4,249,245
50,5,255,244
50,6,256,238
50,7,260,244
50,8,246,242
50,9,249,243
50,10,242,231
50,11,257,244
50,12,237,228
50,13,250,247
50,14,244,233
50,15,254,235
50,16,242,243
50,17,247,247
50,18,254,244
50,19,256,244
50,20,241,243
50,21,250,234
50,22,257,247
50,23,244,242
50,24,242,226
50,25,250,245
50,26,253,244
50,27,261,248
50,28,232,234
50,29,248,240
50,30,245,234
50,31,254,244
50,32,253,247
50,33,256,243
50,34,252,243
50,35,250,241
50,36,242,247
50,37,252,240
50,38,253,246
50,39,253,240
50,40,250,244
50,41,248,244
50,42,242,242
50,43,258,240
50,44,256,242
50,45,248,244
50,46,242,234
50,47,257,241
50,48,251,247
50,49,249,243
50,50,253,244
50,51,251,247
50,52,254,247
50,53,241,247
50,54,252,240
50,55,257,242
50,56,247,239
50,57,247,240
50,58,255,242
50,59,244,229
50,60,244,236
50,61,247,229
50,62,246,235
50,63,243,230
50,64,255,245
50,65,254,243
50,66,254,246
50,67,246,235
50,68,244,247
50,69,253,241
50,70,246,244
50,71,245,232
50,72,246,232
50,73,244,232
50,74,246,244
50,75,242,229
50,76,245,244
50,77,245,245
50,78,252,244
50,79,248,244
50,80,258,246
50,81,258,248
50,82,250,240
50,83,251,245
50,84,237,227
50,85,250,244
50,86,253,244
50,87,241,240
50,88,250,248
50,89,256,248
50,90,254,248
50,91,244,247
50,92,257,248
50,93,250,242
50,94,257,244
50,95,257,247
50,96,247,234
50,97,266,247
50,98,248,232
50,99,244,233
50,100,253,245
