n,test_id,comparisons,pointer_ops,height,max_comparisons,max_pointer_ops,max_height
10000,1,40,195,43,7453,37250,9759
10000,2,40,196,39,10243,51208,3415
10000,3,40,195,39,5671,28348,6221
10000,4,40,196,36,7867,39328,6276
10000,5,40,195,38,12928,64633,4310
10000,6,40,196,39,9781,48898,3486
10000,7,40,195,40,6049,30230,5970
10000,8,40,195,39,3754,18755,7501
10000,9,40,195,39,8014,40063,7715
10000,10,40,195,40,4330,21635,7303
10000,11,40,195,37,6367,31820,6152
10000,12,40,195,40,7969,39830,9593
10000,13,40,195,37,7129,35630,6800
10000,14,40,195,40,8680,43393,8729
10000,15,40,195,40,5572,27853,9781
10000,16,40,196,36,9223,46100,3857
10000,17,40,195,38,5686,28415,8389
10000,18,40,195,46,6175,30860,5886
10000,19,40,194,44,6883,34408,6825
10000,20,40,195,39,11524,57613,3842
20000,1,44,214,46,9313,46558,16293
20000,2,44,214,40,29386,146915,9795
20000,3,44,214,42,19738,98675,17343
20000,4,44,214,40,17446,87223,11766
20000,5,44,213,44,18745,93710,7508
20000,6,44,214,39,25861,129298,8621
20000,7,44,214,40,18469,92338,7690
20000,8,44,214,41,21490,107443,7164
20000,9,44,213,45,15424,77113,11140
20000,10,44,214,41,20398,101983,6800
20000,11,44,214,39,29905,149518,9969
20000,12,44,214,45,16429,82138,19418
20000,13,44,214,42,27289,136438,9097
20000,14,44,213,49,18082,90395,7955
20000,15,44,214,41,17305,86518,19265
20000,16,44,214,41,10120,50593,13255
20000,17,44,213,44,19762,98795,6828
20000,18,44,214,46,15733,78650,9517
20000,19,44,214,41,21928,109633,16247
20000,20,44,214,46,24340,121693,8116
30000,1,46,224,47,17194,85955,18540
30000,2,46,224,54,12217,61070,21858
30000,3,46,225,44,25783,128908,19812
30000,4,46,225,46,37504,187513,12502
30000,5,46,225,46,15148,75733,19904
30000,6,46,224,42,36187,180920,12062
30000,7,46,224,48,12106,60515,25330
30000,8,46,224,45,30796,153965,25714
30000,9,46,224,46,24076,120365,13953
30000,10,46,225,44,34957,174778,11653
30000,11,46,225,45,32065,160318,10693
30000,12,46,225,45,31303,156500,29403
30000,13,46,224,43,29698,148475,10206
30000,14,46,224,45,23965,119818,27176
30000,15,46,224,47,10246,51215,25718
30000,16,46,224,44,28117,140570,11258
30000,17,46,224,44,25018,125075,13324
30000,18,46,224,42,15202,76003,19867
30000,19,46,224,45,25195,125960,13206
30000,20,46,225,49,22384,111913,20498
40000,1,48,232,47,55369,276830,18456
40000,2,48,233,45,46066,230315,15355
40000,3,48,232,48,41392,206945,13799
40000,4,48,232,45,53605,268018,17869
40000,5,48,233,48,49087,245420,16362
40000,6,48,232,46,57769,288838,19257
40000,7,48,232,47,33346,166715,29520
40000,8,48,232,49,32395,161960,28520
40000,9,48,232,46,50323,251600,36174
40000,10,48,232,51,45223,226108,38279
40000,11,48,232,48,21763,108800,29433
40000,12,48,232,56,32800,163993,18137
40000,13,48,232,48,31804,159013,18799
40000,14,48,232,46,24775,123868,30612
40000,15,48,232,47,47653,238258,39017
40000,16,48,233,44,58981,294898,19661
40000,17,48,232,46,49936,249665,16647
40000,18,48,233,45,48178,240875,38123
40000,19,48,232,49,28270,141335,31653
40000,20,48,232,49,37396,186973,38606
50000,1,49,238,48,27466,137323,31693
50000,2,49,238,48,61741,308698,20583
50000,3,49,238,50,49870,249335,39285
50000,4,49,238,50,34246,171215,46208
50000,5,49,238,50,28111,140548,31261
50000,6,49,238,51,39502,197503,23669
50000,7,49,238,48,57202,286003,44785
50000,8,49,239,45,66742,333703,22248
50000,9,49,238,50,23947,119728,34037
50000,10,49,238,47,61405,307010,20468
50000,11,49,238,50,22603,113008,34933
50000,12,49,238,53,25846,129223,32771
50000,13,49,239,48,62227,311128,44664
50000,14,49,238,49,29050,145243,46726
50000,15,49,237,50,34849,174230,40381
50000,16,49,238,52,33886,169423,27412
50000,17,49,238,48,40552,202745,22970
50000,18,49,238,46,28021,140090,31322
50000,19,49,238,46,42394,211963,21739
50000,20,49,238,46,46249,231230,19170
60000,1,50,243,50,73591,367948,24531
60000,2,50,243,48,51484,257405,25681
60000,3,50,243,55,61861,309290,20620
60000,4,50,243,47,39196,195965,33872
60000,5,50,243,47,73039,365180,24346
60000,6,50,243,50,82741,413690,27580
60000,7,50,243,53,50371,251848,26428
60000,8,50,243,48,73891,369440,24632
60000,9,50,243,46,88795,443968,29599
60000,10,50,243,49,43582,217895,30951
60000,11,50,243,53,32506,162523,38331
60000,12,50,243,47,73318,366583,24440
60000,13,50,243,50,36547,182728,44632
60000,14,50,243,48,83179,415888,27727
60000,15,50,243,49,46294,231455,29140
60000,16,50,243,53,27250,136243,53609
60000,17,50,243,48,53653,268250,24234
60000,18,50,243,48,72802,363995,24269
60000,19,50,243,52,30136,150673,39911
60000,20,50,243,51,68074,340363,54075
70000,1,51,247,50,41848,209225,42104
70000,2,51,247,45,103603,518000,34534
70000,3,51,247,57,29893,149450,50074
70000,4,51,247,49,69301,346498,23803
70000,5,51,247,52,83608,418025,61879
70000,6,51,247,48,92677,463370,30892
70000,7,51,247,49,76708,383525,66036
70000,8,51,247,48,78724,393605,26241
70000,9,51,247,55,53104,265505,34600
70000,10,51,247,49,103234,516155,34411
70000,11,51,247,55,41197,205978,48400
70000,12,51,247,56,42598,212983,47889
70000,13,51,247,48,93985,469910,31328
70000,14,51,247,53,46042,230203,54517
70000,15,51,247,51,63229,316130,27854
70000,16,51,247,49,78721,393590,26240
70000,17,51,247,49,84685,423418,28231
70000,18,51,247,49,65650,328235,26238
70000,19,51,247,51,38587,192920,63998
70000,20,51,247,52,31414,157063,57135
80000,1,51,251,53,72676,363365,31556
80000,2,51,251,54,79036,395165,27314
80000,3,51,250,56,70060,350293,33295
80000,4,51,251,51,75445,377210,54056
80000,5,51,251,48,117889,589430,39296
80000,6,51,250,54,98017,490078,32673
80000,7,51,251,50,82831,414148,27613
80000,8,51,251,48,119401,596990,39800
80000,9,51,250,55,59305,296510,40466
80000,10,51,251,56,47290,236443,73336
80000,11,51,250,53,40720,203593,71834
80000,12,51,250,48,67540,337693,34975
80000,13,51,251,50,111880,559385,37295
80000,14,51,250,54,60895,304460,39407
80000,15,51,251,51,84916,424573,28306
80000,16,51,251,51,100594,502955,33533
80000,17,51,250,53,46045,230210,69468
80000,18,51,251,52,71077,355378,54252
80000,19,51,250,52,85897,429470,28632
80000,20,51,250,54,74500,372493,30337
90000,1,52,253,55,54028,270133,53983
90000,2,52,254,52,108730,543635,36243
90000,4,52,254,52,110089,550430,78835
90000,5,52,254,49,85876,429365,32753
90000,6,52,254,52,74752,373745,40168
90000,7,52,253,54,46321,231590,63409
90000,8,52,254,51,111925,559610,37308
90000,9,52,254,50,102547,512720,34182
90000,10,52,254,51,94609,473030,66580
90000,11,52,253,51,87205,436010,31867
90000,12,52,254,50,49750,248743,56835
90000,13,52,253,50,88795,443968,81463
90000,14,52,254,51,126883,634400,42294
90000,15,52,254,51,51757,258778,55498
90000,16,52,254,58,82141,410698,35241
90000,17,52,254,50,109933,549650,36644
90000,18,52,253,50,49324,246613,57119
90000,19,52,253,52,81325,406618,35791
90000,20,52,253,52,73495,367468,68443
100000,1,53,256,52,116278,581383,86434
100000,2,53,256,53,61882,309395,82415
100000,3,53,256,53,62056,310265,58633
100000,4,53,256,55,40924,204613,99479
100000,5,53,256,56,55192,275953,63209
100000,6,53,256,54,72142,360703,51909
100000,7,53,257,51,120922,604603,40308
100000,8,53,256,54,86788,433925,42144
100000,9,53,256,55,102100,510485,34035
100000,10,53,256,56,86998,434983,79192
100000,11,53,257,49,107293,536450,35764
100000,12,53,256,54,75637,378170,77176
100000,13,53,256,56,47974,239855,81457
100000,14,53,257,50,130231,651148,43411
100000,15,53,256,56,84592,422953,43607
100000,16,53,256,51,75223,376108,49854
100000,17,53,256,56,102640,513193,34214
100000,18,53,257,51,108334,541663,36112
100000,19,53,256,56,81289,406430,87930
100000,20,53,256,59,63943,319700,57375
