n,test_id,comparisons,pointer_ops,height,max_comparisons,max_pointer_ops,max_height
10000,1,38,187,32,97,480,56
10000,2,38,186,32,93,460,53
10000,3,38,186,32,94,460,53
10000,4,38,186,32,97,483,54
10000,5,38,185,32,95,465,55
10000,6,38,185,32,96,475,56
10000,7,38,186,32,94,463,57
10000,8,38,186,32,104,513,58
10000,9,38,186,32,94,465,56
10000,10,38,186,32,99,488,57
10000,11,38,186,33,93,458,61
10000,12,38,186,32,89,440,52
10000,13,38,186,32,100,490,57
10000,14,38,186,32,99,493,56
10000,15,38,186,32,94,463,53
10000,16,38,187,32,88,433,58
10000,17,38,186,32,87,430,53
10000,18,38,186,32,99,485,55
10000,19,38,186,32,91,450,52
10000,20,38,186,32,90,445,50
20000,1,42,204,36,99,493,56
20000,2,42,204,36,98,485,59
20000,3,42,204,36,105,523,60
20000,4,42,204,36,100,495,57
20000,5,42,204,36,107,530,59
20000,6,42,204,36,109,535,59
20000,7,42,204,36,98,480,59
20000,8,42,204,36,97,480,59
20000,9,42,205,36,107,533,60
20000,10,42,204,36,100,498,59
20000,11,42,204,36,97,480,59
20000,12,42,204,36,107,533,57
20000,13,42,204,36,98,488,63
20000,14,42,204,36,109,540,59
20000,15,42,204,36,106,525,55
20000,16,42,204,36,101,500,62
20000,17,42,204,36,112,553,59
20000,18,42,204,36,106,520,59
20000,19,42,204,36,108,535,57
20000,20,42,204,36,105,518,59
30000,1,44,214,38,104,515,62
30000,2,44,215,38,111,553,63
30000,3,44,215,38,106,520,62
30000,4,44,214,38,112,555,63
30000,5,44,215,38,114,568,63
30000,6,44,215,38,115,573,62
30000,7,44,215,38,105,523,60
30000,8,44,215,38,106,520,60
30000,9,44,215,38,113,560,59
30000,10,44,215,38,107,533,60
30000,11,44,215,38,110,543,65
30000,12,44,215,38,109,535,59
30000,13,44,215,38,128,635,61
30000,14,44,215,38,105,518,64
30000,15,44,215,38,105,523,63
30000,16,44,215,38,107,530,62
30000,17,44,215,38,101,500,63
30000,18,44,215,38,110,543,61
30000,19,44,215,38,110,545,62
30000,20,44,214,38,110,548,61
40000,1,45,222,39,107,530,63
40000,2,45,222,39,116,578,65
40000,3,45,223,39,108,530,68
40000,4,45,222,39,120,593,63
40000,5,45,222,39,120,590,65
40000,6,45,222,39,113,560,66
40000,7,45,222,39,106,520,66
40000,8,45,222,39,121,600,64
