n,k,comparisons,swaps
3000,54,38310,14013
3000,55,37512,15182
3000,56,38632,15954
3000,57,38861,14499
3000,58,40453,14059
3000,59,38225,13727
3000,60,37606,13830
3000,61,38552,14677
3000,62,37483,13907
3000,63,36987,14631
3000,64,39485,13226
3000,65,38704,17023
3000,66,39116,13687
3000,67,38175,15787
3000,68,38772,14394
3000,69,36408,14050
3000,70,37702,14288
3000,71,37717,15196
3000,72,37091,13595
3000,73,38649,15040
3000,74,37481,14044
3000,75,36962,15767
3000,76,37300,14574
3000,77,37089,13862
3000,78,37416,15434
3000,79,39632,15217
3000,80,37716,13881
3000,81,35732,14314
3000,82,36997,15602
3000,83,35933,14077
3000,84,40321,13381
3000,85,36186,15793
3000,86,38303,15058
3000,87,36331,14272
3000,88,35675,15026
3000,89,37147,13915
3000,90,36340,15091
3000,91,39951,14456
3000,92,37488,14848
3000,93,38673,15118
3000,94,36176,14496
3000,95,38885,17048
3000,96,37464,14719
3000,97,41533,13657
3000,98,39756,13805
3000,99,36367,14075
3000,100,37298,13286
4000,1,54376,18216
4000,2,56757,22868
4000,3,49928,20246
4000,4,53906,18599
4000,5,53146,19990
4000,6,54105,19063
4000,7,52370,20959
4000,8,53915,21802
4000,9,51718,19496
4000,10,52605,20457
4000,11,55979,18402
4000,12,57119,20254
4000,13,54495,18507
4000,14,51287,19755
4000,15,50941,19327
4000,16,51945,19547
4000,17,54357,21073
4000,18,53678,20750
4000,19,52889,19346
4000,20,50808,21631
4000,21,51620,19280
4000,22,49920,20686
4000,23,52549,19723
4000,24,52700,20483
4000,25,51754,20126
4000,26,52806,18713
4000,27,52606,20897
4000,28,54055,20286
4000,29,53324,21849
4000,30,53379,18812
4000,31,51298,20085
4000,32,52227,21771
4000,33,51258,19396
4000,34,52845,20262
4000,35,53111,18998
4000,36,49721,20386
4000,37,53247,20174
4000,38,53323,19130
4000,39,54523,20627
4000,40,51615,21357
4000,41,51417,19862
4000,42,50833,20945
4000,43,51186,20490
4000,44,51632,22065
4000,45,53551,21340
4000,46,52566,23738
4000,47,55558,18977
4000,48,52586,19120
4000,49,51328,22207
4000,50,55418,22068
4000,51,53333,19749
4000,52,54465,22957
4000,53,52956,18543
4000,54,52452,18605
4000,55,49956,21446
4000,56,53154,18685
4000,57,51973,19503
4000,58,51550,19783
4000,59,51337,21622
4000,60,49374,20287
4000,61,53218,21717
4000,62,52662,20145
4000,63,53414,19417
4000,64,53995,20447
4000,65,52355,20988
4000,66,49692,21470
4000,67,54765,20185
4000,68,51327,21110
4000,69,51238,22159
4000,70,52141,20107
4000,71,52885,20517
4000,72,52479,20841
4000,73,53802,20271
4000,74,51414,20644
4000,75,52792,19400
4000,76,51455,20659
4000,77,52477,18838
4000,78,52980,19592
4000,79,53410,22115
4000,80,56939,19151
4000,81,52810,20908
4000,82,54204,22203
4000,83,52012,20824
4000,84,54685,19568
4000,85,59172,20546
4000,86,50613,20548
4000,87,49514,19929
4000,88,52919,19164
4000,89,52228,19168
4000,90,53098,21215
4000,91,55891,19565
4000,92,51481,19599
4000,93,51185,18625
4000,94,53329,19208
4000,95,51666,19303
4000,96,52820,19443
4000,97,50306,19850
4000,98,55996,19852
4000,99,52959,20070
4000,100,52786,19508
5000,1,67328,24412
5000,2,63950,27481
5000,3,67871,27432
5000,4,66082,25451
5000,5,68500,28064
5000,6,72532,23963
5000,7,70952,26641
5000,8,66379,26787
5000,9,69564,26338
5000,10,66380,27746
5000,11,65997,25247
5000,12,70765,23565
5000,13,70053,24886
5000,14,67568,25558
5000,15,68943,24263
5000,16,70089,28232
5000,17,70519,24995
5000,18,73793,25275
5000,19,67856,23948
5000,20,68349,25029
5000,21,66605,26818
5000,22,69149,25639
5000,23,65947,24903
5000,24,67380,24314
5000,25,67801,27231
5000,26,67371,26433
5000,27,65136,26276
5000,28,68129,23947
5000,29,67723,26012
5000,30,68528,24531
5000,31,65411,29070
5000,32,68000,25605
5000,33,67050,29326
5000,34,66918,28619
5000,35,67061,26113
5000,36,67695,24814
5000,37,70850,28214
5000,38,66558,27023
5000,39,67053,27917
5000,40,66071,26670
5000,41,66108,27439
5000,42,72690,29552
5000,43,67953,24457
5000,44,63330,25296
5000,45,66309,25771
5000,46,67196,26465
5000,47,65694,26603
5000,48,65529,25981
5000,49,64966,25480
5000,50,67515,27421
5000,51,67689,25526
5000,52,69291,24340
5000,53,72395,25470
5000,54,72098,24462
5000,55,69717,25201
5000,56,67785,25588
5000,57,69168,26514
5000,58,66346,24055
5000,59,63375,27218
5000,60,66744,29097
5000,61,67422,27852
5000,62,69994,25652
5000,63,66277,28938
5000,64,66043,24787
5000,65,66338,26521
5000,66,65747,24536
5000,67,67306,25362
5000,68,69080,26439
5000,69,67358,27684
5000,70,69498,24016
5000,71,67060,26962
5000,72,69953,25297
5000,73,65298,26505
5000,74,68229,24982
5000,75,68681,27997
5000,76,71864,24280
5000,77,64970,25345
5000,78,66020,29175
5000,79,64968,25007
5000,80,70035,23671
5000,81,63469,29656
5000,82,64814,26179
5000,83,65125,27406
5000,84,65935,26553
5000,85,68012,26668
5000,86,67175,30309
5000,87,67068,25799
5000,88,66311,28270
5000,89,67455,26312
5000,90,68188,24930
5000,91,66812,25921
5000,92,73558,29211
5000,93,64299,26160
5000,94,64131,26357
5000,95,69202,24728
5000,96,64485,28677
5000,97,69207,25177
5000,98,68400,28441
5000,99,65628,27957
5000,100,65414,24248
6000,1,81399,35478
6000,2,81545,32774
6000,3,81409,33748
6000,4,80915,30892
6000,5,83262,35205
6000,6,83981,32695
6000,7,84497,30015
6000,8,81538,31334
6000,9,83657,30391
6000,10,85012,33149
6000,11,87154,30027
6000,12,80439,30840
6000,13,83056,30627
6000,14,78672,30008
6000,15,79647,33777
6000,16,81795,32589
6000,17,88015,32973
6000,18,84581,34682
6000,19,83020,32571
6000,20,90728,31861
6000,21,83067,31034
6000,22,83683,35614
6000,23,82955,30501
6000,24,95844,32111
6000,25,80687,30762
6000,26,84067,33888
6000,27,88715,30457
6000,28,87456,31807
6000,29,80644,34275
6000,30,86642,31518
6000,31,84973,31138
6000,32,82199,30129
6000,33,86672,37275
6000,34,82466,34490
6000,35,85242,37742
6000,36,85759,31154
6000,37,85600,27728
6000,38,86830,31184
6000,39,82691,32875
6000,40,86558,30281
6000,41,78617,33652
6000,42,86976,28087
6000,43,82217,30576
6000,44,82299,31487
6000,45,85738,31699
6000,46,82117,35129
6000,47,82829,30650
6000,48,85827,34456
6000,49,84202,30216
6000,50,82762,33256
6000,51,80229,32687
6000,52,85258,30028
6000,53,81129,33536
6000,54,84939,38668
6000,55,83911,30182
6000,56,83767,30365
6000,57,86475,31416
6000,58,81812,33901
6000,59,79737,34392
6000,60,88987,33532
6000,61,83222,30748
6000,62,80881,32795
6000,63,81529,32499
6000,64,84084,31916
6000,65,86337,33189
6000,66,81771,29833
6000,67,84120,30478
6000,68,83505,34453
6000,69,84710,32009
6000,70,80539,33994
6000,71,86567,29474
6000,72,83884,29793
6000,73,79578,34206
6000,74,83060,33905
6000,75,84665,30836
6000,76,85923,30283
6000,77,79992,33173
6000,78,82425,29894
6000,79,81332,30333
6000,80,87466,34527
6000,81,86653,30174
6000,82,85080,32698
6000,83,83675,34748
6000,84,86615,29803
6000,85,84128,32194
6000,86,80799,34337
6000,87,79308,32583
6000,88,81860,32925
6000,89,80404,29119
6000,90,82340,30939
6000,91,85105,28770
6000,92,82521,31816
6000,93,82052,33187
6000,94,83834,32912
6000,95,80379,33344
6000,96,81370,30265
6000,97,79835,31828
6000,98,80833,32195
6000,99,85416,35940
6000,100,82529,33060
7000,1,97331,39364
7000,2,99489,34516
7000,3,100244,43465
7000,4,104969,34713
7000,5,97866,41341
7000,6,97872,36627
7000,7,95900,42237
7000,8,103139,36776
7000,9,102258,37945
7000,10,101584,36486
7000,11,102317,36715
7000,12,101264,43420
7000,13,100315,41418
7000,14,97874,36713
7000,15,97241,39473
7000,16,99572,40922
7000,17,95962,40497
7000,18,97072,38221
7000,19,93371,39582
7000,20,99318,34074
7000,21,99824,38491
7000,22,101274,37054
7000,23,95790,36562
7000,24,104831,37655
7000,25,97319,36491
7000,26,100908,40472
7000,27,97331,39921
7000,28,98045,38005
7000,29,98364,40307
7000,30,99148,38229
7000,31,94178,38708
7000,32,103453,36976
7000,33,102177,37376
7000,34,99068,39039
7000,35,101408,38098
7000,36,100519,36582
7000,37,99157,39082
7000,38,95235,39937
7000,39,95678,38869
7000,40,99826,37287
7000,41,98270,39005
7000,42,96150,36863
7000,43,95108,40477
7000,44,98662,36920
7000,45,102405,37848
7000,46,98755,35925
7000,47,99210,40122
7000,48,94773,36789
7000,49,97231,36693
7000,50,98336,35997
7000,51,94242,36668
7000,52,94426,37237
7000,53,95316,36749
7000,54,101140,37196
7000,55,98316,36455
7000,56,97393,36757
7000,57,95661,39314
7000,58,99135,36506
7000,59,102076,35139
7000,60,98072,34851
7000,61,96492,39561
7000,62,97420,39488
7000,63,99813,35090
7000,64,94344,35916
7000,65,102078,36816
7000,66,100013,37310
7000,67,100554,36897
7000,68,96715,34958
7000,69,104014,39984
7000,70,101851,43349
7000,71,100173,37013
7000,72,107627,37078
7000,73,98514,37041
7000,74,98961,42501
7000,75,97167,36865
7000,76,99733,36463
7000,77,102008,38427
7000,78,107606,33514
7000,79,99239,37541
7000,80,104496,37351
7000,81,102201,38854
7000,82,96879,41608
7000,83,94806,37567
7000,84,97908,35947
7000,85,96717,40029
7000,86,104443,43117
7000,87,99224,42083
7000,88,108110,41858
7000,89,97739,39605
7000,90,104116,44007
7000,91,101840,36331
7000,92,101786,37280
7000,93,99966,37149
7000,94,98334,38462
7000,95,101394,36101
7000,96,93214,39005
7000,97,97014,38078
7000,98,99880,40500
7000,99,102116,43481
7000,100,97663,34989
8000,1,113646,45609
8000,2,112677,43922
8000,3,112007,42907
8000,4,109623,45714
8000,5,131062,41279
8000,6,118256,49167
8000,7,111944,45650
8000,8,113577,49535
8000,9,109570,44858
8000,10,125124,45149
8000,11,117998,45899
8000,12,116442,44965
8000,13,116816,43976
8000,14,116584,42392
8000,15,113820,42468
8000,16,119757,46300
8000,17,116265,41330
8000,18,118043,42281
8000,19,116071,43264
8000,20,111064,47841
8000,21,114184,42425
8000,22,122242,41673
8000,23,115862,41709
8000,24,113909,43553
8000,25,127749,57763
8000,26,118275,43934
8000,27,113248,44772
8000,28,113286,43307
8000,29,112035,39902
8000,30,113131,44950
8000,31,116918,46001
8000,32,123213,44361
8000,33,114380,44415
8000,34,115380,52734
8000,35,123719,46863
8000,36,115249,42729
8000,37,123524,44677
8000,38,117802,47261
8000,39,120703,39478
8000,40,119461,42262
8000,41,111051,45369
8000,42,120610,45207
8000,43,111497,47113
8000,44,117286,41782
8000,45,112294,44112
8000,46,113629,40271
8000,47,110724,43422
8000,48,119216,52115
8000,49,120878,41530
8000,50,112373,45614
8000,51,119048,44199
8000,52,115378,45211
8000,53,112762,42989
8000,54,122809,43315
8000,55,112648,43810
8000,56,110735,45807
8000,57,113412,47191
8000,58,115532,44709
8000,59,116118,41744
8000,60,115668,44896
8000,61,118994,42089
8000,62,117075,45770
8000,63,113640,44998
8000,64,116397,46872
8000,65,108277,43999
8000,66,111823,46752
8000,67,117599,42740
8000,68,112782,44218
8000,69,116434,48047
8000,70,120905,43072
8000,71,119375,47320
8000,72,117822,42606
8000,73,118005,46388
8000,74,115894,42311
8000,75,119229,42158
8000,76,116062,42436
8000,77,112621,44224
8000,78,123230,44966
8000,79,112430,42891
8000,80,117370,43366
8000,81,117923,43526
8000,82,130662,41631
8000,83,113182,44018
8000,84,115818,40992
8000,85,118121,41468
8000,86,114776,42944
8000,87,113209,42447
8000,88,110594,43138
8000,89,117337,48912
8000,90,114094,40575
8000,91,112477,44926
8000,92,114499,44137
8000,93,113440,46178
8000,94,113198,44752
8000,95,110585,48025
8000,96,122936,43214
8000,97,112902,45240
8000,98,127255,40526
8000,99,115543,43953
8000,100,114830,42276
9000,1,131782,50590
9000,2,126900,49413
9000,3,143997,44461
9000,4,125278,48608
9000,5,128085,51439
9000,6,137244,52732
9000,7,146765,53028
9000,8,131822,47380
9000,9,128940,49427
9000,10,132721,51821
9000,11,131680,49980
9000,12,129669,49596
9000,13,131167,58528
9000,14,130175,50844
9000,15,129089,52319
9000,16,131663,49367
9000,17,128489,53191
9000,18,136903,47681
9000,19,136023,46039
9000,20,133412,47674
9000,21,138949,53256
9000,22,141346,55695
9000,23,138088,46932
9000,24,130544,46759
9000,25,127858,56508
9000,26,127662,51268
9000,27,137896,48609
9000,28,135745,55870
9000,29,139328,45210
9000,30,126029,50184
9000,31,131652,48239
9000,32,132509,44821
9000,33,135256,52948
9000,34,129842,49346
9000,35,148534,52523
9000,36,138370,48375
9000,37,132909,48269
9000,38,133024,49972
9000,39,144178,57127
9000,40,126863,48437
9000,41,128454,47049
9000,42,130007,46704
9000,43,136095,52598
9000,44,131874,47535
9000,45,134405,49776
9000,46,131666,52809
9000,47,129791,47806
9000,48,124823,50443
9000,49,126374,50536
9000,50,127461,50826
9000,51,131306,49723
9000,52,131090,53515
9000,53,129605,49510
9000,54,129891,47408
9000,55,124855,52489
9000,56,136419,55519
9000,57,129509,52940
9000,58,129738,49821
9000,59,127980,50981
9000,60,131461,50644
9000,61,131851,54391
9000,62,126843,51733
9000,63,128556,49911
9000,64,132510,52678
9000,65,129402,49208
9000,66,136103,48417
9000,67,131539,51323
9000,68,133540,56686
9000,69,126634,51549
9000,70,135784,50486
9000,71,138698,49414
9000,72,132002,48096
9000,73,142417,51110
