n,k,comparisons,swaps
1000,1,11704,3722
2000,1,25068,9009
3000,1,38417,15715
4000,1,52131,20721
5000,1,69319,27678
6000,1,84171,32804
7000,1,100568,36725
8000,1,112944,43109
9000,1,127732,52616
10000,1,142351,56792
11000,1,160182,63952
12000,1,185277,67614
13000,1,195945,74739
14000,1,215538,77128
15000,1,228885,87725
16000,1,250504,106144
17000,1,270016,101763
18000,1,297581,99330
19000,1,295900,114517
20000,1,318060,117599
21000,1,346748,130045
22000,1,387360,149153
23000,1,397440,139627
24000,1,411642,146354
25000,1,422922,171735
26000,1,423325,170702
27000,1,438806,178390
28000,1,459894,187300
29000,1,479109,172477
30000,1,522537,191434
31000,1,517643,212426
32000,1,588304,200607
33000,1,556287,220923
34000,1,574374,238133
35000,1,606316,247884
36000,1,619825,252893
37000,1,657498,238991
38000,1,643539,257228
39000,1,670219,240430
40000,1,681864,257195
41000,1,730830,267724
42000,1,774479,264186
43000,1,760459,282112
44000,1,819464,273106
45000,1,790647,286375
46000,1,821106,305754
47000,1,804067,301436
48000,1,896546,340595
49000,1,889546,320850
50000,1,913904,315124
