n,k,comparisons,swaps
10,1,35,29
10,2,33,27
10,3,24,15
10,4,29,20
10,5,37,33
10,6,36,29
10,7,35,26
10,8,25,17
10,9,30,25
10,10,29,22
20,1,76,50
20,2,62,39
20,3,61,37
20,4,63,42
20,5,67,32
20,6,76,39
20,7,67,37
20,8,69,51
20,9,81,45
20,10,91,67
30,1,128,92
30,2,115,80
30,3,128,77
30,4,116,76
30,5,116,59
30,6,169,82
30,7,131,96
30,8,115,78
30,9,111,65
30,10,124,90
40,1,174,115
40,2,206,126
40,3,198,144
40,4,222,134
40,5,181,107
40,6,217,113
40,7,208,108
40,8,217,139
40,9,178,83
40,10,172,109
50,1,257,167
50,2,292,117
50,3,289,139
50,4,260,171
50,5,361,189
50,6,253,122
50,7,283,182
50,8,236,142
50,9,273,184
50,10,246,167
