n,k,comparisons,swaps
1000,1,10126,6127
1000,2,10983,5319
1000,3,10763,5032
1000,4,10794,6167
1000,5,11121,6218
1000,6,12939,8033
1000,7,10992,5995
1000,8,11515,6744
1000,9,14925,7986
1000,10,10768,6238
2000,1,25604,12305
2000,2,23237,13188
2000,3,30573,13381
2000,4,24498,12242
2000,5,25972,11251
2000,6,23103,12105
2000,7,24521,13291
2000,8,24797,13926
2000,9,25048,13921
2000,10,23664,13218
3000,1,39075,20739
3000,2,38477,21026
3000,3,39749,20884
3000,4,39398,20981
3000,5,39502,21376
3000,6,38210,21746
3000,7,41095,23125
3000,8,47773,27000
3000,9,38306,19156
3000,10,41678,21721
4000,1,57941,34503
4000,2,53095,27919
4000,3,60337,29283
4000,4,53257,31491
4000,5,56986,31970
4000,6,59120,32315
4000,7,52281,27561
4000,8,52962,27471
4000,9,56215,32067
4000,10,57011,32986
5000,1,73193,35526
5000,2,70091,34042
5000,3,77188,32453
5000,4,70801,39106
5000,5,71740,40339
5000,6,73723,40388
5000,7,70675,37946
5000,8,74626,44808
5000,9,71604,38737
5000,10,71147,37062
6000,1,81767,43086
6000,2,92607,45323
6000,3,91445,49580
6000,4,85831,46716
6000,5,83530,47427
6000,6,90438,42939
6000,7,87071,48520
6000,8,84876,48184
6000,9,89317,46545
6000,10,90067,47663
7000,1,101181,54624
7000,2,97264,57173
7000,3,105021,52701
7000,4,109821,54527
7000,5,104095,59758
7000,6,105731,57818
7000,7,100664,58543
7000,8,116932,55675
7000,9,110067,57021
7000,10,99866,51837
8000,1,121045,64422
8000,2,123139,62082
8000,3,119377,61930
8000,4,124273,63745
8000,5,114167,63827
8000,6,121224,66596
8000,7,119568,66118
8000,8,121394,67428
8000,9,128264,60619
8000,10,122412,65695
9000,1,132396,65824
9000,2,142731,78385
9000,3,142422,73641
9000,4,137449,76240
9000,5,148078,71600
9000,6,136344,65680
9000,7,147154,76163
9000,8,151935,80144
9000,9,146915,78321
9000,10,138039,85542
10000,1,157136,84278
10000,2,165784,86850
10000,3,161048,85220
10000,4,167899,99587
10000,5,160653,84387
10000,6,157452,80928
10000,7,159649,93535
10000,8,144051,79419
10000,9,169572,92385
10000,10,153991,82871
11000,1,169055,87916
11000,2,171066,89782
11000,3,170116,93490
11000,4,168036,91101
11000,5,179940,99132
11000,6,170161,87437
11000,7,176703,92748
11000,8,182968,102938
11000,9,173260,88897
11000,10,172544,92846
12000,1,195008,104033
12000,2,192948,106658
12000,3,200289,106505
12000,4,184594,97552
12000,5,189279,97669
12000,6,200610,103408
12000,7,203212,119334
12000,8,208936,117753
12000,9,199249,117446
12000,10,190703,94671
13000,1,205635,108923
13000,2,198928,105052
13000,3,205441,114838
13000,4,236625,131864
13000,5,221338,117595
13000,6,198192,106195
13000,7,210565,114633
13000,8,207894,104357
13000,9,224379,128679
13000,10,208417,106100
14000,1,225115,122770
14000,2,223876,121479
14000,3,239359,124675
14000,4,229586,133260
14000,5,220927,111280
14000,6,227931,130393
14000,7,211943,113174
14000,8,264165,140188
14000,9,237545,124470
14000,10,234515,129987
15000,1,248387,145797
15000,2,249290,141235
15000,3,249460,141555
15000,4,240252,128847
15000,5,233113,123417
15000,6,255228,126942
15000,7,245048,138180
15000,8,243895,124623
15000,9,256186,136951
15000,10,245466,139249
16000,1,265026,135428
16000,2,256403,127274
16000,3,260747,148076
16000,4,271687,153380
16000,5,262879,125946
16000,6,288960,166440
16000,7,264581,138942
16000,8,252975,131682
16000,9,273764,152581
16000,10,258168,135798
17000,1,278317,146191
17000,2,305057,165282
17000,3,277386,152890
17000,4,288661,158139
17000,5,283788,145641
17000,6,274185,135752
17000,7,284566,145312
17000,8,275839,158342
17000,9,270745,141725
17000,10,292992,157102
18000,1,304703,158121
18000,2,295375,155302
18000,3,301446,154998
18000,4,308804,147841
18000,5,301737,153737
18000,6,309460,149255
18000,7,296054,154093
18000,8,297990,160567
18000,9,299613,171565
18000,10,306937,164897
19000,1,325659,175740
19000,2,309496,169007
19000,3,334011,162526
19000,4,335822,184647
19000,5,301586,163030
19000,6,314121,180871
19000,7,314252,176514
19000,8,339163,162384
19000,9,313332,156509
19000,10,331598,180509
20000,1,368385,189209
20000,2,369759,182277
20000,3,356349,169140
20000,4,362480,188624
