n,k,comparisons,swaps
1000,1,11011,3997
1000,2,9925,4533
1000,3,10494,4466
1000,4,10595,4568
1000,5,10887,5030
1000,6,10754,4951
1000,7,9890,4287
1000,8,11120,3769
1000,9,9861,4221
1000,10,9851,4074
2000,1,24826,11453
2000,2,24154,8818
2000,3,24148,8902
2000,4,23350,8870
2000,5,24334,8809
2000,6,23105,8679
2000,7,22692,9207
2000,8,24185,10686
2000,9,27707,9272
2000,10,22889,9650
3000,1,37154,15799
3000,2,38285,15702
3000,3,39843,14129
3000,4,37200,13883
3000,5,39263,13798
3000,6,39201,14648
3000,7,36832,14333
3000,8,37908,14518
3000,9,38323,13993
3000,10,38287,14485
4000,1,48984,21372
4000,2,52589,20755
4000,3,52083,19875
4000,4,51395,20488
4000,5,52042,19944
4000,6,50548,21612
4000,7,52931,19575
4000,8,55995,18088
4000,9,51752,20033
4000,10,52118,20828
5000,1,68116,29376
5000,2,66726,27686
5000,3,69018,25289
5000,4,64407,26035
5000,5,64891,25713
5000,6,65562,26096
5000,7,66401,27258
5000,8,67576,25146
5000,9,68829,26925
5000,10,74232,24468
6000,1,80315,33372
6000,2,85836,30499
6000,3,84189,31302
6000,4,82399,33036
6000,5,84695,33190
6000,6,87795,29109
6000,7,83194,31671
6000,8,86508,34129
6000,9,87469,39039
6000,10,80645,31280
7000,1,98865,39479
7000,2,104733,40319
7000,3,103101,40740
7000,4,98602,38279
7000,5,100755,37030
7000,6,95697,37525
7000,7,100303,42474
7000,8,97431,35682
7000,9,97380,39251
7000,10,101101,36773
8000,1,127691,39154
8000,2,115282,40573
8000,3,115920,44795
8000,4,125422,50656
8000,5,114573,46784
8000,6,121314,41185
8000,7,110822,44688
8000,8,110363,46993
8000,9,112729,42096
8000,10,111982,43970
9000,1,140366,45636
9000,2,143339,48947
9000,3,130346,50702
9000,4,132757,48317
9000,5,141853,46766
9000,6,137941,48178
9000,7,132602,50674
9000,8,137865,63868
9000,9,125646,49644
9000,10,128796,50702
10000,1,148757,56173
10000,2,144872,54616
10000,3,151929,55698
10000,4,149838,56178
10000,5,145167,54925
10000,6,147158,58535
10000,7,152341,55933
10000,8,151573,58773
10000,9,158464,52886
10000,10,149877,60084
11000,1,160548,61210
11000,2,179580,75768
11000,3,159971,68557
11000,4,168201,58801
11000,5,164522,61440
11000,6,165596,64241
