n,k,comparisons,swaps
1000,1,10702,6047
1000,2,9857,5825
1000,3,10369,5765
1000,4,11329,6840
1000,5,10857,6508
1000,6,10947,7091
1000,7,10964,6391
1000,8,11194,5848
1000,9,11638,6167
1000,10,11534,6968
1000,11,12449,7234
1000,12,10839,6034
1000,13,11176,6339
1000,14,11534,7066
1000,15,11379,7434
1000,16,11524,6927
1000,17,11391,6480
1000,18,10199,5448
1000,19,10730,6314
1000,20,11054,5681
1000,21,10841,5905
1000,22,10682,6699
1000,23,11990,6947
1000,24,11955,6235
1000,25,10546,6323
1000,26,10693,6264
1000,27,10362,5873
1000,28,11438,6396
1000,29,11457,6406
1000,30,11017,6324
1000,31,11002,5554
1000,32,10921,6670
1000,33,11882,6520
1000,34,10387,5950
1000,35,10730,5809
1000,36,11498,6811
1000,37,12157,6370
1000,38,12025,8028
1000,39,11730,6413
1000,40,10535,6260
1000,41,10661,5945
1000,42,9796,5831
1000,43,10480,6159
1000,44,11202,6463
1000,45,10827,6072
1000,46,10082,6231
1000,47,10862,6305
1000,48,11500,5448
1000,49,10651,5861
1000,50,9864,5628
1000,51,10845,5353
1000,52,12563,6518
1000,53,10304,5153
1000,54,10829,6206
1000,55,10659,6084
1000,56,10774,6377
1000,57,10049,6002
1000,58,11183,6344
1000,59,10754,6363
1000,60,12358,8280
1000,61,10671,5896
1000,62,10332,5962
1000,63,11205,6015
1000,64,11195,6074
1000,65,11658,5591
1000,66,10541,6361
1000,67,10317,5597
1000,68,10420,5877
1000,69,10646,6067
1000,70,10728,6474
1000,71,10539,5604
1000,72,10588,5852
1000,73,11544,7723
1000,74,10512,6223
1000,75,11109,5464
1000,76,11406,6719
1000,77,10322,5958
1000,78,11743,6504
1000,79,10633,5928
1000,80,12566,8176
1000,81,10605,6013
1000,82,10588,6420
1000,83,10018,5625
1000,84,10691,6195
1000,85,11052,6319
1000,86,10582,5830
1000,87,11008,5770
1000,88,9987,5775
1000,89,10773,6041
1000,90,10181,5728
1000,91,10724,5698
1000,92,10186,6141
1000,93,10511,6317
1000,94,11550,5532
1000,95,10623,6251
1000,96,10615,6337
1000,97,11086,5670
1000,98,9960,6162
1000,99,10528,6403
1000,100,11406,6913
2000,1,23794,12651
2000,2,26067,13469
2000,3,26120,15223
2000,4,25689,15306
2000,5,27384,15296
2000,6,24413,13434
2000,7,23733,14157
2000,8,28817,15358
2000,9,27085,15473
2000,10,23332,14386
2000,11,23949,14892
2000,12,24702,15867
2000,13,24064,14137
2000,14,24614,14182
2000,15,23310,14643
2000,16,23095,12851
2000,17,23765,13005
2000,18,24186,13748
2000,19,25578,13853
2000,20,24007,13956
2000,21,25431,15604
2000,22,24011,14144
2000,23,25326,14198
2000,24,23281,13634
2000,25,23699,14401
2000,26,27127,14297
2000,27,24823,13013
2000,28,23814,13765
2000,29,24813,14050
