n,test_id,comparisons,pointer_ops,height,max_comparisons,max_pointer_ops,max_height
10000,1,17,19,26,31,33,31
10000,2,17,19,28,32,34,32
10000,3,17,19,30,34,36,34
10000,4,16,18,26,30,32,30
10000,5,16,18,27,30,32,30
10000,6,15,17,26,29,31,29
10000,7,16,18,25,29,31,29
10000,8,15,17,25,29,31,29
10000,9,16,18,24,28,30,28
10000,10,16,18,26,32,34,32
10000,11,16,18,30,35,37,35
10000,12,17,19,26,30,32,30
10000,13,16,18,25,29,31,29
10000,14,16,18,26,30,32,30
10000,15,15,17,25,31,33,31
10000,16,15,17,24,29,31,29
10000,17,15,17,25,31,33,31
10000,18,16,18,24,29,31,29
10000,19,16,18,27,32,34,32
10000,20,16,18,26,31,33,31
20000,1,17,19,29,36,38,36
20000,2,18,20,30,35,37,35
20000,3,18,20,29,32,34,32
20000,4,17,19,29,34,36,34
20000,5,17,19,27,31,33,31
20000,6,18,20,31,34,36,34
20000,7,18,20,28,35,37,35
20000,8,17,19,27,33,35,33
20000,9,17,19,29,35,37,35
20000,10,18,20,28,34,36,34
20000,11,18,20,32,36,38,36
20000,12,17,19,27,31,33,31
20000,13,19,21,33,38,40,38
20000,14,18,20,29,33,35,33
20000,15,18,20,30,36,38,36
20000,16,18,20,34,39,41,39
20000,17,17,19,29,33,35,33
20000,18,17,19,29,34,36,34
20000,19,18,20,31,35,37,35
20000,20,17,19,30,35,37,35
30000,1,18,20,29,33,35,33
30000,2,19,21,32,36,38,36
30000,3,18,20,32,36,38,36
30000,4,18,20,32,36,38,36
30000,5,19,21,31,34,36,34
30000,6,19,21,32,37,39,37
30000,7,17,19,28,32,34,32
30000,8,19,21,36,40,42,40
30000,9,18,20,33,38,40,38
30000,10,18,20,31,37,39,37
30000,11,19,21,33,37,39,37
30000,12,18,20,32,37,39,37
30000,13,19,21,32,38,40,38
30000,14,20,22,34,38,40,38
30000,15,18,20,29,33,35,33
30000,16,18,20,34,38,40,38
30000,17,18,20,31,35,37,35
30000,18,17,19,27,32,34,32
30000,19,18,20,31,35,37,35
30000,20,17,19,28,35,37,35
40000,1,18,20,30,37,39,37
40000,2,21,23,34,39,41,39
40000,3,20,22,33,38,40,38
40000,4,19,21,33,37,39,37
40000,5,20,22,34,38,40,38
40000,6,18,20,29,33,35,33
40000,7,18,20,30,36,38,36
40000,8,19,21,32,37,39,37
40000,9,19,21,31,36,38,36
40000,10,20,22,35,40,42,40
40000,11,19,21,31,35,37,35
40000,12,19,21,32,36,38,36
40000,13,19,21,32,37,39,37
40000,14,19,21,35,39,41,39
40000,15,19,21,29,34,36,34
40000,16,18,20,32,39,41,39
40000,17,19,21,33,36,38,36
40000,18,18,20,30,36,38,36
40000,19,19,21,34,39,41,39
40000,20,20,22,37,41,43,41
50000,1,18,20,31,35,37,35
50000,2,19,21,37,43,45,43
50000,3,19,21,32,36,38,36
50000,4,20,22,36,40,42,40
50000,5,19,21,32,37,39,37
50000,6,20,22,35,40,42,40
50000,7,19,21,32,37,39,37
50000,8,19,21,32,36,38,36
50000,9,20,22,33,37,39,37
50000,10,20,22,37,41,43,41
50000,11,19,21,32,36,38,36
50000,12,19,21,32,36,38,36
50000,13,19,21,38,42,44,42
50000,14,20,22,34,39,41,39
50000,15,18,20,31,37,39,37
50000,16,19,21,33,36,38,36
50000,17,19,21,33,37,39,37
50000,18,20,22,33,38,40,38
50000,19,19,21,33,37,39,37
50000,20,19,21,32,37,39,37
60000,1,20,22,33,38,40,38
60000,2,20,22,37,41,43,41
60000,3,19,21,32,36,38,36
60000,4,20,22,33,37,39,37
60000,5,19,21,34,39,41,39
60000,6,20,22,36,41,43,41
60000,7,19,21,32,37,39,37
60000,8,20,22,34,38,40,38
60000,9,19,21,32,36,38,36
60000,10,20,22,34,38,40,38
60000,11,19,21,33,36,38,36
60000,12,21,23,35,39,41,39
60000,13,20,22,39,44,46,44
60000,14,20,22,36,41,43,41
60000,15,20,22,34,39,41,39
60000,16,20,22,34,39,41,39
60000,17,21,23,37,42,44,42
60000,18,21,23,39,43,45,43
60000,19,19,21,33,39,41,39
60000,20,21,23,37,41,43,41
70000,1,20,22,34,38,40,38
70000,2,20,22,38,43,45,43
70000,3,20,22,35,39,41,39
70000,4,20,22,37,42,44,42
70000,5,20,22,34,38,40,38
70000,6,19,21,35,39,41,39
70000,7,21,23,34,39,41,39
70000,8,19,21,34,40,42,40
70000,9,21,23,36,41,43,41
70000,10,21,23,37,42,44,42
70000,11,20,22,33,39,41,39
70000,12,20,22,40,45,47,45
70000,13,21,23,36,39,41,39
70000,14,20,22,35,39,41,39
70000,15,20,22,33,38,40,38
70000,16,21,23,36,40,42,40
70000,17,19,21,33,38,40,38
70000,18,20,22,33,37,39,37
70000,19,20,22,38,42,44,42
70000,20,20,22,35,40,42,40
80000,1,19,21,33,37,39,37
80000,2,21,23,36,41,43,41
80000,3,21,23,38,42,44,42
80000,4,20,22,34,39,41,39
80000,5,19,21,32,37,39,37
80000,6,20,22,38,42,44,42
80000,7,20,22,32,36,38,36
80000,8,21,23,36,40,42,40
80000,9,20,22,34,37,39,37
80000,10,20,22,35,40,42,40
80000,11,20,22,35,39,41,39
80000,12,21,23,36,39,41,39
80000,13,20,22,33,37,39,37
80000,14,22,24,41,45,47,45
80000,15,21,23,36,41,43,41
80000,16,21,23,34,38,40,38
80000,17,21,23,36,41,43,41
80000,18,20,22,35,39,41,39
80000,19,21,23,36,40,42,40
80000,20,20,22,34,39,41,39
90000,1,21,23,37,42,44,42
90000,2,20,22,36,41,43,41
90000,3,20,22,35,39,41,39
90000,4,20,22,33,37,39,37
90000,5,20,22,35,39,41,39
90000,6,21,23,35,40,42,40
90000,7,20,22,36,42,44,42
90000,8,21,23,35,40,42,40
90000,9,22,24,42,46,48,46
90000,10,21,23,35,40,42,40
90000,11,21,23,35,39,41,39
90000,12,21,23,35,39,41,39
90000,13,21,23,37,41,43,41
90000,14,21,23,36,42,44,42
90000,15,20,22,33,38,40,38
90000,16,20,22,35,38,40,38
90000,17,20,22,34,40,42,40
90000,18,21,23,33,38,40,38
90000,19,20,22,33,38,40,38
90000,20,21,23,37,40,42,40
100000,1,21,23,37,41,43,41
100000,2,21,23,38,42,44,42
100000,3,21,23,37,43,45,43
100000,4,21,23,36,41,43,41
100000,5,22,24,39,42,44,42
100000,6,21,23,37,41,43,41
100000,7,21,23,36,39,41,39
100000,8,21,23,40,45,47,45
