n,m,comparisons,swaps
2800,3,6010,2219
2800,4,6829,4884
2800,5,7508,1868
2800,6,34493,6582
2800,7,6236,4150
2800,8,7334,1893
2800,9,13921,12407
2800,10,10650,1671
2900,1,6389,4212
2900,2,29856,1544
2900,3,11682,1708
2900,4,17836,1608
2900,5,24238,1573
2900,6,5859,2611
2900,7,5768,2960
2900,8,6062,3705
2900,9,37150,1564
2900,10,5870,3325
3000,1,6869,2911
3000,2,8848,6988
3000,3,6747,2251
3000,4,6598,4338
3000,5,8088,1998
3000,6,6579,2314
3000,7,6510,2345
3000,8,44320,24198
3000,9,8748,1928
3000,10,11292,9543
3100,1,6316,2704
3100,2,15066,13361
3100,3,6984,4711
3100,4,30104,1663
3100,5,6658,4073
3100,6,6816,2382
3100,7,6892,4577
3100,8,10204,1910
3100,9,45069,43094
3100,10,9223,7299
3200,1,7422,2337
3200,2,14533,12587
3200,3,17512,15782
3200,4,35472,33863
3200,5,33957,1718
3200,6,10093,2008
3200,7,8774,2113
3200,8,10500,8567
3200,9,9131,7101
3200,10,7138,2424
3300,1,7097,2607
3300,2,11645,9697
3300,3,9193,7086
3300,4,6781,2819
3300,5,11050,1985
3300,6,12335,10402
3300,7,6851,2745
3300,8,10237,2078
3300,9,53547,51674
3300,10,31531,2822
3400,1,38067,2178
3400,2,12476,10510
3400,3,7172,3267
3400,4,13187,2016
3400,5,9922,7143
3400,6,6950,4048
3400,7,9478,5894
3400,8,7304,2689
3400,9,6779,3468
3400,10,15731,13849
3500,1,11247,8649
3500,2,9165,6848
3500,3,13617,2076
3500,4,7021,3265
3500,5,6970,3489
3500,6,111682,1842
3500,7,33104,14966
3500,8,7278,4397
3500,9,7433,4658
3500,10,8600,2454
3600,1,10107,6038
3600,2,27428,25539
3600,3,7718,2858
3600,4,11445,9241
3600,5,7832,5076
3600,6,9376,6982
3600,7,12617,10487
3600,8,14376,2122
3600,9,12196,2212
3600,10,25518,1973
3700,1,8769,6166
3700,2,7395,3885
3700,3,8138,2846
3700,4,14084,2204
3700,5,7473,3331
3700,6,22337,20352
3700,7,7591,3407
3700,8,10564,8210
3700,9,55678,51320
3700,10,22176,20196
3800,1,8021,4978
3800,2,10008,2410
3800,3,7887,4747
3800,4,9371,6754
3800,5,15592,2225
3800,6,17170,2186
3800,7,10191,2534
3800,8,9084,6435
3800,9,10508,8064
3800,10,10052,2554
3900,1,7912,3459
3900,2,7835,4358
3900,3,9565,2735
3900,4,7832,4262
3900,5,47038,44254
3900,6,14969,12701
3900,7,38120,33566
3900,8,7936,4558
3900,9,94731,2820
3900,10,8789,2924
4000,1,14352,11910
4000,2,8567,5437
4000,3,40149,4260
4000,4,9470,6648
4000,5,26291,2192
4000,6,60315,54563
4000,7,8213,4824
4000,8,115208,7981
4000,9,9772,2810
4000,10,20066,2275
4100,1,15076,12432
4100,2,8729,3289
4100,3,11493,8865
4100,4,8175,4043
4100,5,9162,3098
4100,6,8536,3407
4100,7,10907,8201
4100,8,15404,2448
4100,9,14924,12526
4100,10,98361,2132
4200,1,21764,2393
4200,2,13686,2633
4200,3,9268,6262
4200,4,8553,3686
4200,5,9048,3310
4200,6,10025,7085
4200,7,9654,3085
4200,8,8408,3972
4200,9,9057,5814
4200,10,37126,2252
4300,1,9642,3238
4300,2,10621,2995
4300,3,99890,23255
4300,4,11438,2752
4300,5,8664,4792
4300,6,8983,3559
4300,7,8736,3792
4300,8,59800,2257
4300,9,9284,3379
4300,10,11814,2853
4400,1,35656,33363
4400,2,22795,20374
4400,3,10058,6853
4400,4,23566,2473
4400,5,9382,3520
4400,6,10794,3065
4400,7,20987,2513
4400,8,9672,3385
4400,9,9896,3297
4400,10,9827,6547
4500,1,13644,10884
4500,2,10973,7852
4500,3,12146,2992
4500,4,37967,2430
4500,5,9562,5984
4500,6,12260,9339
4500,7,10562,3257
4500,8,8975,4545
4500,9,10388,3300
4500,10,11188,8105
4600,1,44825,5508
4600,2,27993,25525
4600,3,10004,6467
4600,4,10150,6670
4600,5,10244,3489
4600,6,11371,8211
4600,7,13002,10063
4600,8,9192,4805
4600,9,9249,5052
4600,10,20791,18189
4700,1,9412,4437
4700,2,9385,4570
4700,3,42668,2520
4700,4,9618,4067
4700,5,9705,3980
4700,6,10330,3615
4700,7,47591,44784
4700,8,24240,21638
4700,9,51131,48720
4700,10,15265,11863
4800,1,38100,35203
4800,2,16787,2907
4800,3,12873,9718
4800,4,9611,5116
4800,5,11575,3401
4800,6,25527,2915
4800,7,29374,19028
4800,8,11456,8094
4800,9,12255,6603
4800,10,44054,2575
4900,1,78263,2738
4900,2,10586,3850
4900,3,13098,3272
4900,4,27729,11986
4900,5,10599,6800
4900,6,28538,2582
4900,7,12530,9219
4900,8,12710,3319
4900,9,24316,2783
4900,10,9856,4497
5000,1,11994,8504
5000,2,10377,6229
5000,3,37220,6717
5000,4,38006,2702
5000,5,11312,7629
5000,6,48391,45767
5000,7,12587,9186
5000,8,11460,3686
5000,9,14175,10986
5000,10,12146,3526
5100,1,10378,5941
5100,2,25348,2900
5100,3,17182,3119
5100,4,11667,3767
5100,5,10184,4969
5100,6,22295,2956
5100,7,115488,9514
5100,8,11406,3801
5100,9,56244,4194
5100,10,16449,7901
5200,1,13772,10346
5200,2,12481,8851
5200,3,12846,9265
5200,4,13085,3587
5200,5,22963,6752
5200,6,10558,6004
5200,7,12010,4054
5200,8,17173,14026
5200,9,17415,3642
5200,10,10391,5413
5300,1,17188,13776
5300,2,10900,6418
5300,3,11391,7366
5300,4,37498,3853
5300,5,11310,7123
5300,6,45124,38752
5300,7,18234,3232
5300,8,17722,3254
5300,9,35253,32435
5300,10,20554,13200
5400,1,10914,6093
5400,2,14964,11470
5400,3,16767,3395
5400,4,11750,7593
5400,5,43541,2967
5400,6,12035,7995
5400,7,31612,2993
5400,8,27906,24917
5400,9,26546,3178
5400,10,47574,38368
5500,1,41641,38749
5500,2,20027,16792
5500,3,12262,8140
5500,4,22724,16321
5500,5,13958,10241
5500,6,11558,4501
5500,7,25253,3152
5500,8,33395,30404
5500,9,11117,6207
5500,10,11105,6175
5600,1,12200,4350
5600,2,11317,6323
5600,3,12166,4371
5600,4,20318,15714
5600,5,21513,17973
5600,6,20682,17414
5600,7,12245,4334
5600,8,39662,3060
5600,9,24520,3247
5600,10,12171,7853
5700,1,13823,4001
5700,2,11666,6680
5700,3,16243,3680
5700,4,15977,12302
5700,5,12123,4577
5700,6,32915,22616
5700,7,13427,4107
5700,8,20626,17282
5700,9,23427,4573
5700,10,28329,25192
5800,1,16590,12896
5800,2,13996,4109
5800,3,11825,5075
5800,4,19424,15973
5800,5,85740,3041
5800,6,11524,5543
5800,7,11468,5931
5800,8,13992,4108
5800,9,16223,3335
5800,10,95250,3061
5900,1,13712,4301
5900,2,149006,143667
5900,3,14641,4103
5900,4,15084,11146
5900,5,197928,7702
5900,6,45946,3410
5900,7,28456,19956
5900,8,50917,7049
5900,9,40203,37045
5900,10,11996,6840
6000,1,19456,3719
6000,2,30506,21096
6000,3,15563,11546
6000,4,12671,7847
6000,5,12689,7870
6000,6,47017,3310
6000,7,78553,24132
6000,8,11986,5816
6000,9,22848,3563
6000,10,12673,7844
6100,1,24396,3982
6100,2,31030,27699
6100,3,12557,5206
6100,4,25249,12801
6100,5,12190,6369
6100,6,15752,3797
6100,7,45858,20064
6100,8,12371,4684
6100,9,12609,6183
6100,10,14503,4369
6200,1,15903,11720
6200,2,13807,4702
6200,3,18261,14352
6200,4,15036,4351
6200,5,101047,85470
6200,6,13666,7262
6200,7,22407,18747
6200,8,16963,12742
6200,9,70475,6655
6200,10,47036,40365
6300,1,22924,5029
6300,2,39896,7233
6300,3,12731,6277
6300,4,13294,8219
6300,5,38326,3545
6300,6,14092,8268
6300,7,12913,5433
6300,8,17580,13522
6300,9,16395,4243
6300,10,20604,16757
6400,1,12827,6033
6400,2,14806,7626
6400,3,17494,4229
6400,4,72968,69551
