n,m,comparisons,swaps
2800,10,9610,6843
2900,1,4468,1593
2900,2,6139,3273
2900,3,4873,1998
2900,4,4291,1413
2900,5,4742,1867
2900,6,5710,2829
2900,7,4306,1419
2900,8,8793,5936
2900,9,3966,1085
2900,10,8439,5570
3000,1,3240,252
3000,2,4160,1194
3000,3,5146,2167
3000,4,5336,2361
3000,5,6095,3125
3000,6,7672,4702
3000,7,4603,1619
3000,8,3104,119
3000,9,5097,2125
3000,10,4846,1856
3100,1,9195,6138
3100,2,10418,7337
3100,3,13577,10499
3100,4,11277,8214
3100,5,4087,1006
3100,6,6952,3892
3100,7,7238,4154
3100,8,9873,6798
3100,9,5927,2852
3100,10,6741,3672
3200,1,6682,3509
3200,2,5732,2554
3200,3,3295,120
3200,4,7435,4266
3200,5,7111,3929
3200,6,10098,6920
3200,7,3919,741
3200,8,6758,3589
3200,9,8499,5308
3200,10,4121,940
3300,1,6730,3446
3300,2,6057,2787
3300,3,4930,1654
3300,4,6993,3723
3300,5,4355,1076
3300,6,9229,5959
3300,7,4282,1004
3300,8,7999,4747
3300,9,4389,1104
3300,10,5600,2321
3400,1,4167,779
3400,2,6476,3098
3400,3,5279,1898
3400,4,4875,1484
3400,5,7378,4006
3400,6,4392,1013
3400,7,9895,6528
3400,8,3859,484
3400,9,11707,8355
3400,10,5089,1707
3500,1,8448,4979
3500,2,8474,5014
3500,3,7109,3655
3500,4,4835,1353
3500,5,5302,1824
3500,6,4864,1392
3500,7,7035,3562
3500,8,6663,3194
3500,9,8361,4880
3500,10,6012,2540
3600,1,4883,1299
3600,2,9838,6263
3600,3,6939,3358
3600,4,6295,2726
3600,5,13474,9902
3600,6,4829,1253
3600,7,7103,3527
3600,8,4818,1243
3600,9,4388,812
3600,10,6770,3186
3700,1,7611,3942
3700,2,11360,7699
3700,3,6382,2703
3700,4,3795,107
3700,5,8457,4781
3700,6,5601,1931
3700,7,7349,3670
3700,8,7659,3984
3700,9,3773,91
3700,10,7195,3517
3800,1,7023,3250
3800,2,6373,2600
3800,3,9525,5753
3800,4,6748,2972
3800,5,8455,4673
3800,6,8725,4940
3800,7,5084,1296
3800,8,7271,3492
3800,9,8966,5197
3800,10,7820,4047
3900,1,7320,3441
3900,2,12712,8845
3900,3,12867,9013
3900,4,6183,2305
3900,5,4258,385
3900,6,13837,9985
3900,7,7304,3425
3900,8,8003,4133
3900,9,11253,7389
3900,10,4761,883
4000,1,15856,11889
4000,2,13279,9312
4000,3,7354,3370
4000,4,7477,3504
4000,5,6558,2580
4000,6,5952,1973
4000,7,11303,7339
4000,8,4264,282
4000,9,9139,5164
4000,10,8575,4593
4100,1,9678,5600
4100,2,7186,3105
4100,3,8934,4862
4100,4,11418,7343
4100,5,14201,10135
4100,6,10141,6078
4100,7,7935,3857
4100,8,6247,2187
4100,9,8787,4712
4100,10,7409,3343
4200,1,12586,8420
4200,2,7300,3131
4200,3,5786,1623
4200,4,24713,20550
4200,5,11361,7186
4200,6,8273,4107
4200,7,12089,7923
4200,8,11881,7718
4200,9,4216,32
4200,10,5729,1563
4300,1,9122,4856
4300,2,11323,7044
4300,3,9089,4834
4300,4,8364,4097
4300,5,5170,898
4300,6,11524,7255
4300,7,14806,10546
4300,8,15482,11222
4300,9,5441,1172
4300,10,9601,5319
4400,1,16731,12352
4400,2,11410,7046
4400,3,8674,4296
4400,4,10082,5710
4400,5,12887,8514
4400,6,4949,576
4400,7,13752,9385
4400,8,6183,1816
4400,9,9103,4730
4400,10,13662,9304
4500,1,6340,1855
4500,2,11942,7475
4500,3,10102,5623
4500,4,9054,4581
4500,5,11444,6969
4500,6,14431,9953
4500,7,9888,5409
4500,8,4721,242
4500,9,15733,11260
4500,10,5829,1348
4600,1,15584,11023
4600,2,13297,8715
4600,3,7438,2875
4600,4,10334,5758
4600,5,7962,3374
4600,6,8920,4344
4600,7,10577,5995
4600,8,6779,2197
4600,9,13305,8730
4600,10,6492,1907
4700,1,8614,3957
4700,2,7928,3259
4700,3,12597,7928
4700,4,10693,6015
4700,5,7490,2815
4700,6,14109,9451
4700,7,15557,10881
4700,8,8476,3794
4700,9,9546,4871
4700,10,8403,3737
4800,1,15340,10579
4800,2,9551,4794
4800,3,15632,10856
4800,4,10069,5287
4800,5,9859,5090
4800,6,11117,6351
4800,7,6841,2065
4800,8,8543,3771
4800,9,6296,1529
4800,10,6177,1401
4900,1,10155,5286
4900,2,7140,2268
4900,3,9371,4499
4900,4,4900,7
4900,5,14781,9906
4900,6,7063,2185
4900,7,7007,2135
4900,8,7373,2489
4900,9,11041,6172
4900,10,4976,83
5000,1,14313,9340
5000,2,10859,5893
5000,3,8892,3920
5000,4,17676,12707
5000,5,11151,6185
5000,6,14430,9458
5000,7,5802,827
5000,8,6337,1359
5000,9,7344,2371
5000,10,10294,5316
5100,1,8607,3535
5100,2,13578,8506
5100,3,7144,2063
5100,4,12491,7416
5100,5,5237,162
5100,6,12670,7589
5100,7,9592,4514
5100,8,12422,7344
5100,9,21265,16199
5100,10,6604,1520
5200,1,11458,6288
5200,2,10068,4895
5200,3,11734,6562
5200,4,24581,19414
5200,5,11384,6208
5200,6,9470,4295
5200,7,11170,6000
5200,8,7342,2164
5200,9,7991,2818
5200,10,10375,5202
5300,1,12060,6787
5300,2,18224,12951
5300,3,5409,125
5300,4,7878,2594
5300,5,14383,9101
5300,6,12110,6849
5300,7,7504,2229
5300,8,12736,7469
5300,9,13226,7956
5300,10,8264,2986
5400,1,6789,1413
5400,2,9128,3749
5400,3,8834,3461
5400,4,9424,4046
5400,5,6388,1010
5400,6,12296,6930
5400,7,9316,3937
5400,8,7939,2560
5400,9,13290,7930
5400,10,16443,11074
5500,1,6499,1021
5500,2,10406,4931
5500,3,13939,8467
5500,4,14396,8933
5500,5,12705,7248
5500,6,5874,399
5500,7,5502,9
5500,8,6220,739
5500,9,10026,4539
5500,10,10489,5017
5600,1,12564,6992
5600,2,6450,865
5600,3,13905,8335
5600,4,13954,8378
5600,5,9810,4235
5600,6,8844,3268
5600,7,13532,7959
5600,8,7188,1621
5600,9,7905,2336
5600,10,8769,3188
5700,1,10394,4706
5700,2,8001,2328
5700,3,8977,3308
5700,4,9258,3588
5700,5,14129,8469
5700,6,6374,690
5700,7,14424,8743
5700,8,10421,4742
5700,9,15438,9763
5700,10,9026,3360
5800,1,8120,2327
5800,2,6570,791
5800,3,7765,1990
5800,4,10726,4951
5800,5,12773,7019
5800,6,7262,1490
5800,7,6958,1183
5800,8,7589,1820
5800,9,18318,12561
5800,10,16586,10831
5900,1,7424,1552
5900,2,16099,10221
5900,3,9553,3681
5900,4,9452,3583
5900,5,7301,1420
5900,6,9807,3926
5900,7,8627,2746
5900,8,9832,3954
5900,9,21121,15264
5900,10,9101,3223
6000,1,14891,8906
6000,2,14987,9023
6000,3,12786,6814
6000,4,8501,2528
6000,5,13137,7167
6000,6,6625,652
6000,7,16927,10961
6000,8,13300,7337
6000,9,15497,9518
6000,10,9910,3932
6100,1,15785,9715
6100,2,16094,10037
6100,3,12505,6424
6100,4,7708,1623
6100,5,7423,1338
6100,6,13338,7274
6100,7,10864,4792
6100,8,13431,7359
6100,9,9903,3834
6100,10,17938,11863
6200,1,12230,6051
6200,2,15533,9361
6200,3,13211,7039
6200,4,14847,8690
6200,5,11319,5158
6200,6,10522,4352
6200,7,15343,9170
6200,8,16512,10351
6200,9,9055,2876
6200,10,7865,1686
6300,1,15946,9680
6300,2,6695,419
6300,3,16184,9917
6300,4,7949,1673
6300,5,12570,6297
6300,6,17380,11107
6300,7,12719,6443
6300,8,12068,5810
6300,9,9396,3130
6300,10,10588,4322
6400,1,7633,1261
6400,2,10943,4562
6400,3,18984,12611
6400,4,9681,3308
6400,5,20298,13934
6400,6,20810,14446
6400,7,13090,6723
6400,8,6537,146
6400,9,15032,8662
6400,10,7987,1608
6500,1,6970,489
6500,2,13958,7479
6500,3,15582,9113
6500,4,13035,6560
6500,5,10085,3606
6500,6,13113,6632
6500,7,11306,4822
6500,8,14127,7655
6500,9,7296,821
6500,10,11080,4613
6600,1,20270,13712
6600,2,16891,10333
6600,3,16573,10016
6600,4,20223,13653
6600,5,14542,7969
6600,6,16214,9653
6600,7,21620,15050
6600,8,13069,6499
6600,9,13282,6700
6600,10,15345,8781
6700,1,24463,17800
6700,2,12969,6302
6700,3,9468,2801
6700,4,7046,362
6700,5,7322,638
6700,6,12009,5346
6700,7,15356,8684
6700,8,8523,1835
6700,9,11397,4725
6700,10,10068,3396
6800,1,8612,1833
6800,2,22865,16102
6800,3,10154,3384
6800,4,10470,3698
6800,5,7550,760
6800,6,6933,154
6800,7,9579,2797
6800,8,15003,8239
